Generation: 1 | maxFitness: 0,2313441 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,2313441
N TotallyRandom: 1 | N RandomParents: 80 | N Top2: 0 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|RandomParents|0,2313441|-0,6360083;-1,602261;4,503757;2,823075;-1,258045;-1,856515;1,589106;2,248344;3,223995;-4,751732;3,063538;-0,5182724;-4,923826;-2,400655;0,5373912;-1,539915;3,640785;-3,13887;-1,033949;3,082017;0,3700752;-2,893398;1,673137;2,866001;-2,282477;2,093424;3,254879;-1,620275;-3,870566
1|RandomParents|0,146397|3,304473;1,474669;-4,791586;4,847753;4,221689;2,761596;-0,3218727;-3,087978;4,987612;-3,031669;-0,3727288;0,2833576;4,333892;-3,957029;-2,994877;1,056209;0,8135266;-4,986116;-2,665071;4,137903;-3,979658;-1,703947;0,2117543;-3,760588;-3,768445;1,615057;3,364209;-2,752988;0,2851839
2|RandomParents|0,1458213|-1,399209;-1,402983;-4,276108;-4,891254;-0,1269479;0,5366535;0,9866648;4,418755;3,877077;-0,3632431;4,021566;-4,095464;1,714944;-1,87354;-2,0177;3,515953;1,082118;-2,002354;2,200675;-2,673736;-0,3780146;0,5621271;2,572712;0,6864862;4,020448;-4,988875;-2,457865;0,3414555;0,1749249
3|RandomParents|0,1192614|2,000705;3,356087;-3,196484;-1,038935;4,725834;-3,532166;3,816426;-4,722699;-3,240033;4,326962;-3,184403;4,18027;-2,114506;1,896721;-0,9512753;2,300573;2,065419;0,2635293;1,773175;2,54894;-1,442526;-4,840794;-3,3002;0,9345679;-0,7009797;3,799107;-4,182359;1,612266;-4,796173
4|RandomParents|0,1137618|-1,343429;4,980094;-2,824162;0,5604248;-2,543147;2,976333;1,841392;-3,36796;3,009471;-0,7473879;0,6968265;-3,242816;-4,874567;2,201415;0,4479833;-3,549329;-3,188808;-0,7946796;-0,0824399;0,08147526;4,446974;-0,04456329;-1,771314;2,205115;-0,6773095;-2,286165;3,57889;4,590248;-4,566097
5|RandomParents|0,1090301|1,767111;4,686955;1,341252;0,7478352;-4,882299;3,294001;0,3417807;-3,196378;2,348559;-1,232915;-4,010688;3,070495;-0,8931465;3,378447;-1,758191;2,755847;-1,804165;-4,741734;1,354363;-2,065466;-2,989533;1,78467;-3,684245;-2,650108;4,66607;-0,5553098;4,023849;4,770455;-2,979154
6|RandomParents|0,09962249|-4,238594;-1,806254;0,2826281;4,893856;4,195065;-0,0690608;4,363283;0,115983;-4,297534;-2,059412;-2,616354;4,90212;2,627149;-1,223881;4,81389;0,240335;4,34929;-3,338246;-1,080435;2,793633;-2,006166;0,4570384;-4,289695;3,027147;0,742641;2,741351;-0,8084769;1,240895;-1,783251
7|RandomParents|0,09758217|-3,754058;4,440518;3,773914;4,526721;-2,36953;4,359819;-3,149599;-1,750448;1,968065;-2,854596;-1,434246;3,833409;2,029582;-3,562012;-1,22296;-2,60546;-2,627573;-2,001931;-1,992766;-4,803561;0,4882092;1,424088;-1,401241;4,078535;4,823533;-2,921357;1,366724;-4,642791;-0,3316741
8|RandomParents|0,08979286|-1,030018;-2,317647;3,20881;2,153;-4,431944;-4,369715;1,18169;3,416855;4,878461;-0,2378387;1,934748;-3,707761;-0,9810262;3,055509;-4,865402;4,403315;-2,555958;1,658529;1,086587;-0,8944197;2,485147;-0,987298;2,567186;3,883288;-4,44539;0,09004784;-1,348398;0,4779415;-2,144685
9|RandomParents|0,08730986|0,4187078;-1,138185;-2,512517;1,185874;-0,7076068;-2,180925;2,208855;-4,047008;-4,352808;-4,209471;2,984758;-2,731904;-4,075045;4,680719;-3,345796;-0,3855901;-1,465868;3,216245;-2,322843;3,875684;-3,288517;-2,977598;4,214567;-0,6150584;4,581038;1,515537;-1,139749;-0,982141;-2,214051
10|RandomParents|0,08155849|-0,7632275;1,944065;3,250359;-3,219441;4,486439;0,4681973;0,6520314;-4,857113;3,049146;-2,356637;3,129908;-2,777188;0,4384618;-4,135362;3,736475;0,4969769;1,845674;-2,193925;-0,1152282;-0,1864891;2,461515;4,589582;-1,323483;-0,4265184;-3,229323;2,979032;-4,112085;-3,929426;-1,347723
11|RandomParents|0,03010441|-4,943789;-3,599863;-4,790101;4,762182;1,566055;-3,372333;-2,118729;-0,7053227;4,7988;1,39277;-3,712733;-3,247524;-3,231702;-3,686601;-3,472426;3,441336;0,7423882;3,431074;-4,096397;1,335791;4,817229;-3,172194;1,50524;0,8623486;-4,456309;2,054689;-1,193419;-4,81682;-1,207919
12|RandomParents|0,02987956|0,07649612;0,1473923;0,201437;1,772046;-2,027905;-3,55455;3,498747;-2,269192;3,124626;4,880531;-3,105096;2,55313;3,438741;3,356865;1,795177;1,314698;-1,893768;3,843579;-1,811474;-3,286839;-3,708335;-1,725514;-2,339062;3,600069;-2,154102;2,344698;-3,822293;-0,3681631;4,421891
13|RandomParents|0,02851398|-2,693504;4,998369;0,5853386;3,743267;-3,811792;-0,1180167;3,538648;4,83306;-1,245701;-3,520029;4,443854;3,751991;-1,453909;-1,895037;-3,454367;4,579376;-1,774595;-2,86399;-1,27866;-0,2580314;0,8361406;0,2553825;-0,3845067;0,5204458;-0,2760906;-0,4052658;1,218634;0,7275934;-1,485239
14|RandomParents|0,02048615|-2,958145;2,002392;-3,590212;-4,294678;-0,1059251;1,256405;-1,40515;0,4345183;1,849596;3,768507;-2,007784;-0,5218511;4,888153;-3,913653;-2,826328;2,147099;1,929764;-2,769295;-0,04831266;-4,731685;-0,5610151;-3,147887;-4,583564;-4,306791;-4,980668;-4,905578;3,892203;-4,978846;1,570266
15|RandomParents|0,0199705|-4,821466;-3,419123;-4,957887;-1,170664;3,335003;-0,8522887;-2,549025;-1,979484;1,542124;-1,806135;-1,085758;2,232181;-4,823294;-0,8281236;2,854076;-0,7915025;4,458851;-4,143873;-1,88597;-4,967443;4,726996;-2,098565;-1,79353;-1,990893;0,2105122;-3,276309;3,617552;3,05577;1,810048
16|RandomParents|0,01994109|-3,750744;3,536829;-3,977943;2,252317;1,707218;-0,2230649;-0,566339;-4,288498;1,339141;4,289865;0,3557901;-3,328835;-4,548737;2,683284;-2,755193;-3,415069;-4,85243;-3,525153;2,434916;-0,2575021;-0,810533;1,680975;1,54395;-2,696397;-0,7484694;2,629877;1,724353;0,5109735;1,465213
17|RandomParents|0,0198412|-3,301387;4,729041;-4,140592;-0,4446573;-1,938695;-2,849431;-3,2296;3,693774;-0,2741928;2,747398;-1,707091;2,132531;-0,9070463;-0,1556702;-0,2278275;-4,704489;3,468499;-1,785128;-0,5768852;1,853863;1,880752;-2,54454;4,269726;3,540325;2,369667;-3,35441;-0,9218998;0,9209208;2,05102
18|RandomParents|0,01963788|-4,481325;-1,795797;1,399673;2,844482;-1,24228;3,83944;0,5264468;-4,00424;2,321855;-3,409918;-3,588455;-3,515178;-0,2162714;4,801357;2,280511;-3,489683;-0,3439312;-1,339169;4,172939;-1,671986;3,65379;-0,1177521;2,12074;-1,007609;-3,414203;4,023742;-3,425113;-3,802743;2,517385
19|RandomParents|0,01958405|-1,351145;0,08157539;-0,9180193;-4,756736;3,690715;-0,8601718;1,922871;4,254575;-1,315454;-2,497252;-3,351723;-0,1639862;-2,4469;1,895857;1,917412;-2,512384;1,91773;-0,115766;-1,18298;-2,78159;-3,058561;-0,09051752;0,3014212;-4,190363;3,885107;-0,6611366;-2,548824;4,283897;2,752579
20|RandomParents|0,01811378|1,319808;-2,435114;-2,327523;3,872579;-0,7849388;1,458167;-0,5285435;-4,625505;3,601415;-4,70491;0,06710482;4,386961;4,778254;3,33889;-4,963392;2,175741;3,331587;1,885118;-0,2171631;2,409173;4,049146;-4,158171;-1,825865;4,922119;-1,955293;4,812734;3,40205;4,534288;1,764441
21|RandomParents|0,01781269|-4,238905;1,988561;-1,575255;-4,9721;-3,500563;0,4151993;-0,1042037;-0,552979;4,821378;-4,717428;3,015726;-0,2680521;2,591398;4,664309;3,512333;4,210644;2,532595;-0,03183651;0,6137567;0,6257124;-1,473083;3,848782;3,366948;-4,574047;2,444966;-3,575473;1,787461;4,575075;0,6585889
22|RandomParents|0,01715222|-4,16111;4,847562;4,574839;1,644844;-3,839146;1,345738;-0,3355079;3,018461;-1,516947;-4,878854;0,08908081;-0,1468225;-2,870197;2,845082;-3,849472;-3,604063;-1,888333;1,299386;-4,576625;-2,584623;-4,706811;0,2892451;0,03102493;-3,450183;4,629431;-0,5045776;-4,445915;-1,789104;-1,502866
23|RandomParents|0,01708277|-1,966245;-0,2256341;-4,090568;0,04097414;0,2629991;3,429194;-3,449445;3,673952;0,6364279;-0,2856822;-2,514539;1,875534;-4,655723;0,496357;1,209418;-3,318048;1,076164;-3,8032;-4,220685;2,514311;-1,129255;1,071983;0,3633933;4,089925;3,873169;2,42799;-2,302217;-3,559641;-2,602524
24|RandomParents|0,01672862|-2,532367;-0,639215;-2,962312;0,5596666;-1,045959;-0,8022027;-0,7636886;-0,7568245;-2,312052;-2,490967;-4,160413;2,119908;-4,792459;-0,4880042;4,438294;-2,932347;4,300829;3,99514;-4,337025;-4,772396;-4,853578;1,306566;4,85283;-3,386298;-2,169821;-4,976383;4,198296;3,770934;-2,101283
