Generation: 12 | maxFitness: 0,3658777 | maxFitnessGen: 0,2590763 | maxFitnessGenBuf: 0,3658777
N TotallyRandom: 1 | N RandomParents: 80 | N Top2: 0 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|RandomParents|0,3658777|-0,5715111;-1,867161;4,504252;3,081791;-1,258045;-2,291615;1,589106;1,448358;3,211277;-4,33683;3,063538;-0,3558899;-5,067111;-2,400655;0,9159769;-0,9886745;3,631916;-2,945274;-1,406708;2,582763;0,01574203;-2,963108;1,673137;2,866001;-2,016036;2,337663;3,033915;-1,949001;-3,50925
1|RandomParents|0,2963935|-1,131294;-2,095151;4,503757;3,139804;-1,258045;-1,536534;2,072703;2,248344;3,142319;-4,865725;2,759394;-0,4861358;-4,771555;-2,794933;0,14169;-1,057075;4,112698;-3,317433;-1,033949;2,767127;0,6143824;-3,288679;1,755171;2,470624;-2,683806;1,85151;3,502739;-1,990233;-3,870566
2|RandomParents|0,2827975|-1,23533;-1,046883;5,877894;2,836318;-0,5182893;-1,388303;1,719741;1,501146;2,674322;-5,014568;3,415461;-0,6468056;-5,152007;-2,950136;1,404127;-1,204275;3,537429;-3,703739;-1,546627;2,910009;1,30814;-2,580366;0,7486384;2,286583;-2,155121;1,877072;2,248641;-2,056556;-3,347814
3|RandomParents|0,2725543|-1,611979;-1,531564;5,789624;3,233429;0,6042424;-1,454852;1,459012;2,069334;1,820254;-5,213138;3,541061;-0,9461747;-4,926446;-2,939519;0,9325408;-1,430613;2,110967;-4,395059;-1,170765;2,436843;0,8261318;-2,388375;0,6029806;1,917907;-2,848894;2,417248;2,899422;-1,538375;-2,667793
4|RandomParents|0,2568389|-1,729092;-1,933682;4,677711;3,955531;-1,094332;-1,378446;1,857239;1,582795;4,181976;-4,36452;3,292019;-0,3730831;-5,016174;-2,615011;0,4569807;-3,236149;4,298552;-2,093082;-1,524522;2,974082;0,8922915;-2,098357;0,5370811;3,84095;-3,423215;2,369228;2,929169;-2,347236;-3,593425
5|RandomParents|0,2535023|-1,38351;-0,8566475;4,912896;3,515413;-1,408658;-1,139028;1,403634;1,687922;4,045256;-4,79544;3,267583;0,02288058;-4,683413;-2,512337;0,4649767;-0,747301;4,442104;-3,785861;-0,9279901;3,826392;0,4826328;-1,423151;0,6081128;3,236064;-4,069901;1,92001;2,78042;-1,276377;-4,181061
6|RandomParents|0,2491184|-0,6360083;-1,602261;4,503757;2,823075;-1,258045;-1,856515;1,589106;2,248344;3,223995;-4,751732;3,063538;-0,5182724;-4,923826;-2,400655;0,5373912;-1,539915;3,640785;-3,13887;-1,033949;3,082017;0,3700752;-2,893398;1,673137;2,866001;-2,282477;2,093424;3,254879;-1,620275;-3,870566
7|RandomParents|0,2443067|-0,8135592;-1,311918;5,933374;2,82355;0,2950542;-1,388303;1,719741;1,734693;2,63118;-5,014568;3,415461;-0,7491394;-5,152007;-3,049427;1,025112;-1,204275;3,537429;-3,703739;-1,066152;2,590909;0,9079512;-2,165859;0,3775369;2,35256;-1,719481;2,296339;2,008647;-1,605379;-3,347814
8|RandomParents|0,2366081|-0,201957;-2,063886;4,782792;1,886952;-0,8507338;-1,535909;1,464039;2,293676;3,223995;-4,51625;2,441902;-0,5255744;-5,09552;-1,957405;0,1324021;-1,699595;3,713092;-3,372156;-0,9797137;3,082017;0,3700752;-3,178906;1,963938;2,368063;-2,282477;2,174426;3,254879;-1,620275;-4,803572
9|RandomParents|0,2308442|-0,6360083;-1,350968;4,503757;3,139804;-1,258045;-1,947112;1,875231;2,248344;3,416404;-4,588232;2,759394;-0,5182724;-4,455016;-2,61502;0,14169;-1,453106;4,112698;-3,32515;-0,644963;2,323336;0,5021637;-3,336098;1,972116;2,405913;-2,632665;1,846604;3,502739;-2,20006;-4,055295
10|RandomParents|0,2264841|-0,3674501;-1,12355;4,501407;2,823075;-1,258045;-1,960677;1,998643;2,248344;3,223995;-5,134357;3,071012;-0,4598456;-4,923826;-2,400655;0,5702415;-1,539915;3,640785;-3,61185;-0,635062;3,082017;0,2458517;-2,744951;1,673137;2,866001;-2,282477;2,093424;3,168751;-1,620275;-3,639994
11|RandomParents|0,2228969|-0,8535962;-1,415057;4,987232;3,050286;-1,17066;-1,945584;1,339379;1,866762;3,959291;-4,653403;2,865074;-0,1891717;-5,456156;-2,290125;0,7749843;-1,166713;3,955996;-2,717301;-1,063829;3,400771;0,3700752;-2,893398;1,58241;3,17393;-2,282477;2,093424;3,254879;-1,209771;-3,710859
12|RandomParents|0,214339|-1,656081;-1,282549;4,071985;3,811461;-2,198494;-0,9644499;1,857239;2,115729;3,922038;-4,644948;3,422693;-0,3866043;-3,897139;-2,598699;0,3414943;-2,96006;3,660109;-2,791073;-1,187602;2,726104;1,066152;-1,374014;0,496757;4,087841;-2,69359;2,49624;2,431118;-1,78843;-3,741628
13|RandomParents|0,1800937|-0,07278034;-1,645816;5,187201;3,810938;-1,856531;-1,547819;1,702291;1,191507;3,417813;-3,909367;3,723374;0,002137274;-4,317014;-2,145092;0,88634;-2,353822;4,489487;-3,477803;-0,2474136;3,553629;0,8664614;-1,290546;0,7785909;4,191498;-3,245162;2,80047;2,963187;-2,337988;-4,296156
14|RandomParents|0,1534693|-1,04894;-1,845499;6,069;2,895148;1,018825;-0,8330996;1,585723;1,828022;1,966172;-4,833869;4,282934;-0,6908621;-5,483049;-3,706415;0,9325408;-0,9693516;3,376517;-4,750476;-0,9394008;3,206655;0,9516703;-3,34576;0,962439;2,572609;-2,073161;2,030741;3,035421;-1,617286;-3,068443
15|RandomParents|0,1481159|-1,04894;-1,845499;5,697538;3,297355;0,4155481;-1,32394;1,435733;2,219327;2,099055;-4,909987;3,869844;-0,6566377;-4,75331;-3,840561;0,9325408;-0,9693516;3,390726;-5,150556;-0,9394008;2,667951;0,7857434;-3,172221;1,684173;2,926637;-2,073161;2,030741;3,274467;-1,617286;-2,859905
16|RandomParents|0,1324199|-1,945712;-0,67862;5,170743;4,335217;-1,094332;-0,9502511;1,643919;1,69396;3,706436;-3,810022;3,767604;-0,2463838;-4,686182;-3,198938;0,9030693;-2,603864;4,372568;-2,467385;-0,6294816;2,974082;0,1109579;-1,868976;0,09770915;3,658225;-3,810343;2,369228;2,549282;-1,937987;-3,619458
17|TotallyRandom|0,1180705|0,7097216;-0,8295493;-1,423183;2,595693;-0,7618957;-2,376632;2,127686;0,3027124;-0,4940314;2,120243;-0,3226309;1,239856;-3,550395;-4,03221;4,80537;-1,921119;-4,103436;4,489818;0,4041224;-2,093699;-2,640778;-2,13664;2,256466;3,430396;2,85698;-1,171121;-1,445453;0,1577063;-2,225174
18|RandomParents|0,1175567|-1,589743;-1,212537;5,170743;4,548764;-1,094332;-1,175555;1,643919;1,468654;3,780103;-4,043972;3,415142;-0,2463838;-4,250023;-2,960211;0,6551103;-2,577583;4,726585;-2,428071;-0,6294816;3,316202;0,5331487;-1,748089;0,09770915;4,126497;-3,443932;2,479396;2,204495;-1,857332;-3,919464
19|RandomParents|0,1088081|-4,281489;-2,839598;4,983225;3,956164;4,561709;-0,486511;-1,337035;-1,06014;-2,918931;-3,435218;1,924126;2,7843;0,05268764;-0,430382;0,6107101;-3,863955;3,21505;-2,742452;-0,3959216;-2,817641;-3,266721;-0,4971771;-1,999771;0,2567513;2,605351;-3,556951;-3,044716;2,850915;-0,03204678
20|RandomParents|0,1051185|-3,371969;2,5574;-2,38515;-3,985686;-0,5292276;3,562556;1,519026;1,557709;-0,8184479;-2,425126;2,413701;2,437825;2,175781;5,352447;1,572083;-2,143181;2,09202;-1,941958;1,168697;-3,134248;-2,230325;-4,1106;0,5573432;-0,1686071;0,7444852;4,182528;-2,372582;2,510422;-4,754623
21|RandomParents|0,1050312|-0,7339789;-1,33381;4,912044;3,352345;-0,873404;-0,8951947;1,49404;1,557769;4,623672;-4,232787;3,770657;0,1592154;-4,257543;-2,922021;1,380619;-0,3834038;4,665534;-2,779945;-0,6291093;3,611064;0,9068672;-1,641525;1,228235;3,184622;-3,863305;1,474535;3,16362;-1,931262;-3,980989
22|RandomParents|0,104737|-0,9676687;-1,602261;4,503757;3,139804;-1,258045;-1,856515;1,589106;2,42484;2,828188;-4,44693;2,759394;-0,5085432;-4,771555;-3,214999;0,14169;-0,9391953;4,48776;-3,305936;-1,033949;3,048151;0,7505537;-3,336098;1,675266;2,548103;-2,282477;1,673701;3,763874;-1,492893;-3,870566
23|RandomParents|0,09728102|-3,70105;-2,71742;4,173139;3,654005;4,574462;-0,486511;-1,404729;-0,6921939;-2,990709;-3,705711;1,794187;2,430853;0,05268764;-0,2536697;0,9525777;-3,979804;3,663898;-2,29751;-0,6675923;-2,817641;-3,529824;-0,2228113;-2,324393;-0,1995463;3,49336;-3,452487;-3,259838;2,196588;0,1725619
24|RandomParents|0,094659|-3,922168;3,914347;2,78322;4,93732;-1,933168;5,473477;-3,61056;-0,6599092;0,6700332;-3,712979;-1,223704;3,254041;2,959345;-3,694472;-2,687257;-2,650044;-2,917615;-3,131893;-1,338063;-3,818547;1,086744;0,3268333;-1,552335;3,428233;5,87971;-3,913131;0,1123326;-5,327071;0,1869712
25|RandomParents|0,0932906|-3,745655;-2,71742;4,550452;3,268538;4,247671;-0,486511;-0,9424064;-0,9305441;-3,40941;-3,719779;1,449051;2,430853;-0,3197318;-0,1202401;0,9525777;-3,627027;3,384046;-2,7462;-0,6675923;-2,817641;-3,147327;-0,2228113;-2,334507;-0,1995463;2,940672;-3,316745;-3,539195;2,196588;-0,2611117
