Generation: 1 | maxFitness: 0,2588646 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,2588646
N TotallyRandom: 1 | N RandomParents: 0 | N Top2: 89 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,2588646|3,090361;-2,053093;-3,680699;-4,872152;-4,003629;4,605863;-3,867812;-4,573913;-1,316964;-0,7074718;-2,337279;-1,540699;-0,7235413;-0,09161758;4,920245;-1,10586;1,978458;1,374687;1,718951;-0,4896111;4,705846;-2,932898;0,9636803;3,031121;-0,953732;2,59128;-3,652831;-3,054076;4,675343
1|TOP2|0,177192|0,9164519;2,395973;-3,145113;-3,809733;1,854028;-1,555449;-1,59612;-2,064752;-0,9020705;-4,990134;4,877827;-2,392114;-0,274889;-2,50612;0,6470017;4,686837;-2,585512;4,73044;1,193002;-3,61799;4,775957;2,33428;-0,9621625;-3,427379;-3,763089;0,3829927;-0,7983155;-0,01087856;4,946488
2|TOP2|0,1701969|-3,304137;2,33677;-0,3941531;3,107191;2,018228;-1,918723;2,131872;0,2957029;2,759748;-4,783209;0,7782407;1,800187;0,3110714;4,130145;2,01263;-4,345035;1,330521;3,287685;4,898645;-1,422307;-2,739015;2,048539;-0,5328326;1,680541;0,3209968;-3,606131;1,54786;-0,3190751;-1,906991
3|TOP2|0,163083|-0,5455117;-4,113047;-4,235479;2,610501;0,6477814;-0,6917934;-1,853013;1,098227;4,203343;0,4284554;-2,88267;3,694182;-3,973298;-4,800379;0,02620029;-1,553369;-2,859166;4,167155;2,652217;-3,796925;-1,600871;1,228443;4,549406;-2,307086;3,020104;4,871547;0,5751901;-3,117372;-1,290191
4|TOP2|0,133935|-1,377249;2,703448;-0,0651927;-0,1293058;3,469328;-0,1444535;-0,2979784;-1,717678;1,914195;-3,085886;-4,115619;3,953653;-1,460701;-2,628505;2,072896;3,036095;1,790116;1,93032;-4,500709;1,465344;-4,746118;-3,396967;-1,265948;-2,76956;2,279587;4,671209;4,639997;2,539854;-0,641232
5|TOP2|0,1321269|-1,062214;-0,123239;1,110849;4,089153;-1,435912;4,207772;2,809416;1,595334;2,171687;-4,516935;1,125651;2,452374;-2,617293;-4,810675;-2,752756;4,793144;-2,091987;-0,6158776;2,206067;-4,599214;0,8757038;-0,8221622;4,894408;-2,426984;-0,2555389;3,238267;-0,9466224;-1,925142;-1,208079
6|TOP2|0,09134047|-3,264164;-2,323752;-4,812052;-3,277979;4,996719;-4,837924;3,031029;4,134822;4,977874;-3,429935;0,230618;3,904398;-3,960744;1,994476;1,855012;-0,9488516;-3,338888;-0,3590007;-3,447701;-3,900556;1,849641;1,45612;4,317228;0,0826664;4,188744;4,734495;0,8965964;4,089266;-0,9384398
