Generation: 30 | maxFitness: 0,6101888 | maxFitnessGen: 0,2480929 | maxFitnessGenBuf: 0,2549421
N TotallyRandom: 1 | N RandomParents: 0 | N Top2: 80 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,2549421|2,591504;-0,9659011;-5,106647;-4,214964;-3,813421;5,106063;-4,42532;-5,332368;0,09763444;0,1410335;-3,779289;-0,2596905;0,5799651;0,1469939;6,096348;-0,3294362;3,519903;2,557212;0,2688388;-1,912052;4,650669;-3,537586;2,829201;2,55034;-2,907638;3,551663;-6,112053;-2,196392;5,087088
1|TOP2|0,2548523|2,663687;-0,7937611;-4,803846;-4,711243;-3,813421;6,032048;-4,42532;-4,841764;0,0317601;-0,2351859;-4,173699;-0,5497578;1,187657;0,1469939;6,591128;-0,5920287;3,519903;2,549499;0,4645182;-1,600387;4,650669;-3,694788;2,549556;2,787726;-2,427544;3,804934;-5,747942;-1,7295;5,087088
2|TOP2|0,231828|2,426043;-0,6372409;-4,759192;-4,396547;-3,813421;5,534549;-4,41029;-4,841764;0,2967572;-0,2351859;-3,779289;-0,5497578;0,9350933;0,1469939;6,096348;-1,010524;3,519903;2,247571;0,2697678;-1,912052;4,650669;-3,191406;2,473172;2,631845;-2,427544;3,459841;-5,747942;-1,699976;4,660261
3|TOP2|0,2297624|2,663687;-0,5383354;-4,759192;-4,396547;-3,654023;5,717383;-4,572406;-4,841764;0,06314082;-0,5571502;-3,954182;-0,8653391;0,7502293;0,1469939;6,096348;-0,5920287;3,34449;2,557212;0,3420939;-1,912052;4,190589;-3,404075;2,359013;2,363426;-2,427544;3,804934;-5,747942;-2,097887;4,930924
4|TOP2|0,2280867|2,663687;-1,270925;-4,759192;-4,396547;-3,754002;5,053483;-4,571956;-4,841764;0,06314082;-0,2351859;-3,779289;-0,6962813;0,7670772;0,1469939;6,096348;-0,5920287;3,519903;2,293364;0,471924;-1,912052;4,650669;-2,914952;2,344647;2,663939;-2,893333;3,804934;-6,159285;-1,948537;5,58203
5|TOP2|0,223321|2,663687;-0,7677873;-4,944807;-4,396547;-3,813421;5,912388;-4,42532;-4,841764;-0,1352242;-0,008826554;-4,084968;-0,2349724;0,7502293;0,1469939;6,096348;-0,7762445;3,223857;2,417168;0,3420939;-2,332968;4,650669;-3,016787;1,862506;2,363426;-2,427544;3,863138;-6,210921;-2,196392;5,087088
6|TOP2|0,2231909|2,663687;-0,6174294;-4,759192;-4,357229;-3,808473;5,354608;-4,15088;-4,841764;-0,01544403;-0,2351859;-3,799583;-0,5497578;0,7502293;0,1469939;6,193395;-0,5920287;3,519903;2,090995;0,7481853;-1,912052;4,650669;-3,404075;2,359013;2,363426;-2,427544;3,752343;-5,395594;-2,070622;5,051743
7|TOP2|0,2192299|2,663687;-0,5986633;-5,071964;-4,396547;-3,813421;5,534549;-4,42532;-4,841764;0,06645191;-0,2351859;-3,779289;-0,571013;0,6300296;0,1469939;5,978852;-0,8000991;3,519903;2,557212;0,3754905;-1,912052;4,650669;-3,404075;2,359013;2,363426;-2,427544;3,958974;-5,747942;-2,475833;5,087088
