Generation: 3 | maxFitness: 0,5619898 | maxFitnessGen: 0,4668479 | maxFitnessGenBuf: 0,5619898
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,5619898|-4,473184;-1,355632;1,518271;1,779872;2,618403;2,641148;-1,94233;3,664717;-3,312147;-0,3776989;-1,275071;-2,831131;2,341033;-4,583283;-1,787238;4,646191;3,04469;0,04914814;-1,01036;0,3929133;-3,97925;0,3202289;-4,975476;-1,412644;-0,1514629;0,09635401;3,165777;-1,918712;3,638344
1|TOP2|0,4649156|-4,625953;-1,355632;1,69333;1,394985;2,618403;2,549692;-1,845314;4,083344;-3,494066;-0,3776989;-1,016703;-3,142666;2,837198;-4,150033;-2,26844;4,241455;2,702617;-0,4480608;-0,8120928;0,7673496;-4,057228;0,5895311;-4,610688;-1,85949;-0,420491;0,09635401;3,129798;-1,773703;3,638344
2|TOP2|0,4640314|-4,78318;-1,186785;1,348743;1,977685;2,807257;2,143795;-1,608459;4,116748;-3,312147;-0,8398783;-1,066063;-2,831131;2,91289;-3,798818;-2,663127;4,646191;2,702617;-0,8928201;-1,180025;0,3929133;-4,057228;0,6998847;-4,975476;-1,557542;-0,1514629;0,09635401;3,165777;-2,273026;3,638344
3|TOP2|0,4621014|-5,000976;-1,116929;1,602517;1,779872;2,618403;2,549692;-1,94233;4,083344;-3,312147;-0,3776989;-1,016703;-2,831131;2,702738;-4,150033;-2,26844;4,646191;2,487826;-0,4480608;-0,9575244;0,7558225;-4,061066;0,6998847;-4,975476;-1,268156;-0,1514629;0,09635401;3,165777;-2,641234;3,395817
4|TOP2|0,4607209|-4,297688;-1,355632;1,69333;1,779872;2,851691;2,140625;-1,980597;4,083344;-3,100509;-0,8129478;-1,26159;-2,831131;2,702738;-4,150033;-2,26844;4,829586;2,702617;-0,4480608;-0,8120928;0,3929133;-4,057228;0,6998847;-4,975476;-0,959223;-0,1514629;0,4668794;3,165777;-2,273026;3,525092
5|TOP2|0,4586687|-4,761766;-1,710801;1,69333;1,36773;2,618403;2,549692;-1,808723;4,083344;-3,220081;-0,3776989;-1,016703;-2,831131;2,828883;-4,40995;-2,027522;4,646191;2,988131;-0,2235221;-0,8120928;0,3929133;-4,057228;0,6998847;-4,749198;-1,654897;-0,1514629;-0,1378773;3,165777;-2,273026;3,638344
6|TOP2|0,4569201|-4,513214;-1,355632;2,187973;1,779872;2,137193;2,541737;-1,94233;3,950027;-3,312147;-0,3776989;-1,016703;-2,448039;3,085073;-4,150033;-2,26844;4,321868;2,887461;-0,6416637;-0,8120928;0,3929133;-4,057228;0,6998847;-4,67722;-1,412644;-0,1514629;0,09635401;2,996535;-2,071772;3,638344
7|TOP2|0,4558977|-4,513214;-1,687387;1,69333;1,472885;2,990448;2,549692;-1,980665;4,083344;-3,740876;-0,5419827;-0,6331551;-3,113453;2,702738;-4,150033;-2,26844;4,149032;2,32011;-0,5795478;-0,8120928;0,3929133;-3,720266;0,6998847;-5,009238;-1,412644;-0,1777291;0,5022473;3,57899;-2,273026;3,586559
