Generation: 2 | maxFitness: 0,295056 | maxFitnessGen: 0,2313441 | maxFitnessGenBuf: 0,295056
N TotallyRandom: 1 | N RandomParents: 80 | N Top2: 0 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|RandomParents|0,295056|-0,6360083;-1,602261;4,503757;2,823075;-1,258045;-1,856515;1,589106;2,248344;3,223995;-4,751732;3,063538;-0,5182724;-4,923826;-2,400655;0,5373912;-1,539915;3,640785;-3,13887;-1,033949;3,082017;0,3700752;-2,893398;1,673137;2,866001;-2,282477;2,093424;3,254879;-1,620275;-3,870566
1|RandomParents|0,2630946|-0,6360083;-1,757128;4,503757;2,823075;-1,258045;-1,856515;1,650803;2,10892;3,223995;-4,751732;2,72214;-0,814111;-4,923826;-2,803068;0,379775;-1,737202;3,640785;-3,13887;-1,033949;3,082017;0,1048425;-3,022379;1,673137;2,866001;-2,746993;2,173131;2,894172;-1,812219;-3,870566
2|RandomParents|0,2540924|-0,6360083;-1,354148;4,860988;2,823075;-1,258045;-1,719467;1,589106;1,751372;3,500355;-4,302369;3,111015;-0,5182724;-4,650988;-2,400655;0,5373912;-1,539915;4,110108;-2,801758;-1,046273;3,082017;0,6474463;-2,893398;1,673137;2,866001;-2,716948;2,221638;3,254879;-1,645006;-3,870566
3|RandomParents|0,1386086|1,961353;3,252729;-3,182729;-1,038935;4,228081;-3,532166;3,396019;-5,185206;-3,43913;4,326962;-3,358774;4,18027;-2,114506;1,896721;-1,027935;2,520329;1,628023;0,7219949;1,773175;2,54894;-1,597148;-4,818473;-3,057008;1,244622;-0,7009797;3,799107;-4,182359;1,612266;-5,108575
4|RandomParents|0,1304652|1,556595;2,942513;-2,893186;-1,195866;4,685146;-3,532166;3,816426;-5,086666;-3,240087;4,468431;-3,184403;4,18027;-2,501951;1,896721;-0,9512753;2,300573;2,065419;0,2635293;1,773175;2,919378;-1,442526;-5,250064;-3,3002;0,9345679;-0,2774665;3,780849;-4,182359;1,612266;-4,796173
5|RandomParents|0,1165927|-0,7632275;1,958969;3,250359;-2,820394;4,590731;0,4681973;1,13033;-4,77754;3,490825;-1,96876;3,307798;-2,907187;0,7992752;-4,135362;3,752048;0,4969769;1,845674;-2,193925;-0,1152282;-0,1864891;2,461515;4,198475;-1,608965;-0,2377795;-3,572372;2,979032;-4,112085;-4,231845;-1,347723
6|RandomParents|0,115206|3,304473;1,178667;-4,791586;4,847753;4,566137;2,880836;-0,3218727;-3,087978;5,134966;-3,276062;-0,3727288;0,2833576;4,115482;-4,097823;-2,994877;1,056209;0,8135266;-4,986116;-2,665071;3,791126;-3,979658;-1,823887;0,2117543;-4,006783;-3,768445;1,615057;3,364209;-2,752988;0,2851839
7|RandomParents|0,1145731|-1,539047;4,980094;-2,661338;0,5604248;-2,316057;2,976333;1,841392;-3,438756;3,009471;-0,92208;0,6968265;-2,948388;-4,574909;2,201415;0,4479833;-3,200026;-3,162092;-0,5736267;0,1251092;0,08147526;4,307546;-0,5355281;-1,311482;2,363083;-1,029745;-2,286165;4,060994;4,590248;-4,854855
8|RandomParents|0,113282|-1,662395;4,980094;-2,824162;0,5604248;-2,613003;2,828023;1,841392;-3,751617;2,577056;-0,4987932;0,6968265;-2,797077;-5,179395;2,080046;0,4479833;-3,236616;-3,687837;-0,4919879;-0,0824399;0,08147526;4,446974;0,2244792;-1,916021;2,481374;-0,6773095;-1,845464;3,57889;4,590248;-4,87288
9|RandomParents|0,1121138|-1,343429;4,980094;-2,824162;0,5604248;-2,788679;2,673879;1,841392;-3,184403;3,009471;-0,7473879;0,6968265;-3,242816;-4,874567;2,201415;0,4479833;-3,703175;-3,188808;-0,7946796;-0,0824399;-0,01082116;4,381971;-0,04456329;-1,771314;2,205115;-0,1977409;-2,286165;3,57889;5,088708;-4,532053
10|RandomParents|0,1048969|-3,899976;4,352996;3,345328;4,12088;-2,36953;4,359819;-2,809035;-1,916656;1,968065;-2,854596;-1,434246;3,391742;2,029582;-3,2095;-1,485241;-2,429838;-2,789886;-2,001931;-1,635258;-4,803561;0,4882092;1,424088;-1,401241;3,950099;4,823533;-2,921357;1,503805;-4,956627;-0,4115581
11|RandomParents|0,10372|-3,754058;4,47796;3,773914;4,526721;-2,411037;4,359819;-3,175906;-1,750448;1,968065;-2,714135;-1,434246;3,833409;2,029582;-3,562012;-1,399877;-2,60546;-2,518003;-2,001931;-1,864359;-4,803561;0,5934191;1,262572;-1,622523;4,027313;4,823533;-2,921357;1,19551;-4,238216;-0,3316741
12|RandomParents|0,1031961|-1,327419;4,980094;-2,79222;0,3090703;-2,543147;2,976333;1,841392;-3,36796;3,009471;-0,7486522;0,3572877;-3,114706;-5,099843;2,219954;0,4149614;-3,779233;-2,972094;-0,7946796;-0,5611368;0,1240118;4,776175;0,3260751;-1,276066;2,205115;-0,6773095;-1,843084;3,57889;4,590248;-4,566097
13|RandomParents|0,1019998|0,4187078;-1,160184;-2,512517;1,185874;-0,4585849;-2,180925;2,606389;-3,691478;-4,431656;-4,386071;3,195449;-2,731904;-4,075045;4,680719;-3,345796;-0,6592441;-1,825327;3,558788;-2,322843;3,643835;-3,288517;-2,792367;4,214567;-1,03859;4,581038;1,960235;-1,139749;-0,4933245;-2,214051
14|RandomParents|0,09918469|-0,7632275;1,944065;3,250359;-3,219441;4,173605;0,2648524;0,2721789;-5,318251;3,049146;-2,356637;3,129908;-2,777188;-0,004712552;-4,370004;4,133672;0,4969769;1,645491;-2,193925;0,2154554;-0,1864891;2,461515;4,589582;-1,323483;-0,4265184;-2,951201;2,979032;-4,112085;-3,929426;-1,347723
15|RandomParents|0,09781752|1,541623;3,112101;-3,228431;-0,5477611;5,022097;-3,396674;3,816426;-4,722699;-3,62406;4,282314;-3,184403;4,197621;-2,223676;1,896721;-0,5096201;2,55619;2,065419;0,2635293;2,241557;2,54894;-1,442526;-5,147238;-2,968101;0,9790495;-1,103754;3,799107;-4,182359;1,612266;-4,796173
16|RandomParents|0,09106543|0,2427115;-1,138185;-2,512517;1,490577;-0,7076068;-2,674413;2,525359;-4,047008;-3,975122;-4,690932;2,574096;-2,731904;-4,075045;4,680719;-3,411981;-0,3855901;-1,290683;3,216245;-2,322843;4,045463;-3,288517;-2,977598;4,214567;-0,579809;4,581038;2,00704;-1,044106;-0,982141;-2,214051
17|RandomParents|0,09099744|-3,800416;4,440518;3,773914;4,795964;-2,36953;4,708386;-2,926491;-1,442127;1,968065;-3,097404;-1,434246;3,654937;2,486196;-3,562012;-1,22296;-2,60546;-2,627573;-2,023151;-1,992766;-4,346545;0,2781978;1,17933;-1,401241;4,078535;4,823533;-2,921357;1,366724;-4,481438;-0,3316741
18|RandomParents|0,08083276|-0,7632275;2,369352;3,250359;-3,219441;4,129439;0,2275422;0,9295347;-4,620508;3,494245;-2,356637;3,129908;-2,777188;0,4384618;-4,135362;3,610975;0,6564812;1,845674;-2,193925;-0,1943142;-0,1864891;2,480071;4,40299;-1,390221;-0,2466347;-3,229323;2,979032;-3,683709;-3,929426;-1,643821
19|RandomParents|0,0776889|0,4187078;-1,138185;-2,512517;1,233676;-0,7076068;-2,307581;2,208855;-4,047008;-4,375088;-4,209471;2,984758;-2,806274;-4,452947;4,680719;-3,345796;0,04864022;-1,465868;3,216245;-2,322843;3,875684;-3,10368;-2,977598;4,516201;-0,2719505;4,581038;1,763023;-1,139749;-0,9519408;-2,415516
20|RandomParents|0,0667603|2,000705;2,951363;-3,196484;-1,073426;4,725834;-3,532166;3,816426;-5,065465;-2,833778;3,904566;-3,184403;3,937034;-2,114506;1,896721;-0,9512753;2,437605;1,795105;0,2635293;2,066386;2,54894;-1,442526;-4,394265;-3,631846;1,349304;-0,7009797;3,799107;-4,182359;1,612266;-4,796173
21|RandomParents|0,0553227|-0,7632275;1,944065;3,220098;-3,20805;4,721591;0,8763346;0,4878027;-5,194045;2,686768;-2,260519;3,416504;-2,684026;0,9116908;-4,135362;4,071764;0,4969769;1,845674;-2,193925;-0,1152282;-0,1864891;2,461515;4,374187;-1,323483;-0,6669278;-3,229323;2,979032;-4,359198;-3,688318;-1,347723
22|RandomParents|0,03355534|-2,958145;2,002392;-3,590212;-4,294678;0,3200783;1,256405;-1,40515;0,5033516;1,849596;3,768507;-2,007784;-0,9312432;4,888153;-4,158659;-3,300803;2,147099;1,668794;-2,769295;-0,2120078;-4,731685;-0,5610151;-2,656112;-4,583564;-4,306791;-4,980668;-4,905578;4,228827;-4,948517;1,238388
23|RandomParents|0,02672943|-2,524689;5,455145;0,5853386;3,743267;-3,811792;-0,1180167;3,538648;5,266157;-1,245701;-3,520029;4,443854;3,751991;-1,456629;-1,869572;-3,085902;4,579376;-1,774595;-2,86399;-1,27866;-0,2580314;0,8925573;0,1376525;-0,5484293;0,545221;-0,4886544;-0,5144383;0,9727175;0,7275934;-1,485239
24|RandomParents|0,02252649|-2,503675;2,228959;-3,736223;-4,117938;-0,1059251;0,7732972;-1,40515;-0,0611892;1,849596;3,768507;-1,795903;-0,5218511;5,340766;-3,913653;-2,826328;2,147099;1,532129;-2,749681;-0,04831266;-4,903787;-0,5610151;-3,413714;-4,291718;-4,306791;-4,980668;-4,905578;4,039857;-4,893377;1,570266
25|RandomParents|0,02104225|0,07649612;-0,1966114;0,201437;1,592492;-2,146785;-3,55455;3,498747;-2,269192;3,051156;5,200545;-3,105096;2,924538;3,438741;2,981433;1,683338;1,732135;-2,019993;3,843579;-1,998724;-3,286839;-3,708335;-1,725514;-2,339062;3,600069;-2,154102;2,344698;-3,822293;-0,4405167;4,136074
