Generation: 14 | maxFitness: 0,6101888 | maxFitnessGen: 0,2261846 | maxFitnessGenBuf: 0,2280696
N TotallyRandom: 1 | N RandomParents: 0 | N Top2: 80 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,2280696|2,968565;-2,077384;-3,655702;-5,238348;-3,943063;5,62246;-3,369789;-4,31568;-0,8174202;-0,008634806;-3,362275;-0,9086096;0,2859993;0,5744482;4,149801;-1,722635;2,589138;2,11733;1,255511;-0,712868;4,941145;-3,0781;1,433559;2,586212;-1,620623;3,688713;-4,380607;-3,965794;4,304678
1|TOP2|0,2141463|2,928339;-2,077384;-3,655702;-5,238348;-4,431646;5,62246;-3,652411;-4,31568;-0,5298123;0,4751593;-3,362275;-0,9086096;0,4799138;0,2964154;4,051616;-1,369755;2,589138;2,11733;1,255511;-0,8001418;5,074099;-3,078379;1,433559;2,48398;-1,216201;4,026217;-4,636188;-3,965794;4,009209
2|TOP2|0,2140601|2,968565;-2,077384;-3,655702;-5,096725;-4,431646;5,62246;-3,677248;-4,288805;-0,8408493;0,4751593;-3,362275;-0,9086096;0,5410287;0,545266;4,149801;-1,042224;2,589138;2,036461;1,255511;-0,4901824;5,074099;-3,341178;1,646348;3,050528;-1,185202;3,50573;-3,932823;-4,255836;3,939714
3|TOP2|0,2136193|3,249824;-2,077384;-3,655702;-5,209085;-4,431646;5,62246;-3,960433;-3,849333;-0,5298123;0,1203076;-3,402133;-0,8622753;0,2859993;0,6070472;4,373816;-1,369755;2,882215;2,11733;1,255511;-0,8001418;5,26379;-3,466014;1,433559;2,586212;-1,620623;3,834652;-4,2024;-3,965794;4,157907
4|TOP2|0,2112035|2,968565;-2,187945;-3,655702;-5,153447;-4,169998;5,499483;-3,677248;-4,243648;-0,5298123;0,4751593;-3,362275;-0,9086096;0,2859993;0,545266;4,149801;-1,369755;2,94418;2,11733;1,255511;-0,9730869;4,603061;-2,752859;1,751725;2,87391;-1,620623;3,783007;-4,380607;-3,820822;4,367554
5|TOP2|0,2086586|2,785764;-1,816136;-3,655702;-4,814382;-4,431646;5,515437;-3,677248;-4,31568;-0,2772029;0,6548059;-3,362275;-0,5941564;0,2859993;0,545266;4,149801;-1,369755;2,186514;2,11733;1,255511;-0,8001418;5,203825;-3,078379;1,433559;2,586212;-1,620623;3,622096;-3,964868;-3,965794;4,304678
6|TOP2|0,2042964|2,968565;-2,291263;-3,655702;-5,238348;-4,431646;5,62246;-4,028777;-4,454435;-0,5298123;0,4751593;-3,362275;-0,9245941;0,2859993;0,7935125;3,963449;-1,369755;2,432294;2,492945;1,255511;-0,8001418;5,074099;-3,078379;1,483555;2,586212;-2,005042;3,622096;-4,380607;-3,57726;4,304678
7|TOP2|0,2028064|2,968565;-2,542156;-3,655702;-5,234985;-4,431646;5,44738;-3,261977;-4,31568;-0,7749789;0,8764728;-3,279546;-0,9086096;0,07925075;0,545266;4,638426;-1,369755;2,589138;1,643777;1,368035;-1,109403;5,074099;-3,44232;1,8209;3,075018;-1,910341;4,033338;-3,916414;-4,401307;4,568283
