Generation: 18 | maxFitness: 0,4117483 | maxFitnessGen: 0,2611576 | maxFitnessGenBuf: 0,2494375
N TotallyRandom: 1 | N RandomParents: 80 | N Top2: 0 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|RandomParents|0,2494375|-0,9498239;-1,490738;5,149764;3,066393;-0,1775459;-1,246664;1,441014;2,206667;1,800224;-5,258503;4,613276;-0,6566916;-6,578861;-2,645782;0,1536092;-1,592754;1,422042;-3,971155;-1,459186;2,005065;1,047017;-2,669348;0,7672194;1,807998;-2,414209;2,643642;2,191967;-0,8680078;-2,822945
1|RandomParents|0,2451839|-0,003935669;-1,154509;5,16419;3,041315;-0,5454961;-2,06799;1,034258;1,285626;4,19133;-5,200218;3,069997;0,3663088;-5,774503;-2,510522;1,702971;-1,246851;4,119365;-2,364874;-0,9871496;3,400771;-0,3139006;-3,834589;1,343386;2,798766;-2,719077;2,085785;3,034491;-2,150324;-2,816818
2|RandomParents|0,2398605|-0,6373091;-0,9436945;5,142015;2,934925;1,407105;-0,6064183;1,46636;1,140174;1,590945;-4,373877;3,346383;-0,4258059;-5,323737;-3,5872;0,777252;-1,047671;3,497727;-5,083574;-1,052299;3,522019;0,9143932;-2,624194;0,4775268;2,386985;-2,073161;2,476528;3,031332;-1,748369;-2,890709
3|RandomParents|0,2371524|-0,09708127;-1,704568;5,867746;2,246848;-0,1435751;-1,542014;1,785506;2,228855;2,459616;-4,760573;2,866395;-0,8404962;-4,451974;-2,204421;-0,761635;-1,588493;4,387907;-3,009069;-0,8311247;2,951276;-0,2775474;-2,531019;2,11515;2,278157;-2,498713;1,637626;3,363501;-1,168632;-3,200608
4|RandomParents|0,2260804|0,186612;-1,804803;4,690383;3,081791;-0,4115202;-3,561728;1,589106;1,260286;3,605126;-4,739727;3,943518;-0,6107566;-4,534807;-2,805307;0,5481265;-1,369978;3,860588;-3,777269;-1,143554;2,787543;0,202888;-2,986114;1,002478;2,855685;-2,303402;1,623116;2,645764;-1,526773;-3,876276
5|RandomParents|0,2213096|-0,1157045;-1,704568;5,375831;2,246848;0,3447528;-1,57625;2,089265;2,228855;2,854883;-4,352693;3,291512;-0,8404962;-4,603438;-2,204421;-0,7689052;-1,588493;4,387907;-2,863498;-0,9776154;2,951276;-0,04558513;-2,537555;2,11515;1,856321;-2,498713;1,794436;3,461555;-1,22706;-3,562971
6|RandomParents|0,1660777|-0,3385859;-2,184355;5,209929;3,408299;-1,239269;-0,3319077;1,500337;1,722251;4,213084;-2,890572;4,342023;-0,1200345;-4,578168;-2,415097;1,301014;-2,477834;4,489487;-3,902524;-0,5657725;3,792203;1,144428;-1,013715;1,162639;3,777251;-3,279848;2,448168;2,792905;-3,410104;-4,780941
7|RandomParents|0,1196775|0,1331173;-2,573013;5,362182;3,37916;-1,461397;-1,652555;1,685666;2,019616;3,761948;-3,676577;3,858984;0,1822539;-4,562036;-2,685527;0,7008072;-2,987938;4,985147;-3,886321;0,3791215;4,042241;0,8353169;-1,493959;1,859311;4,070693;-3,702718;2,641013;2,635059;-3,127146;-4,12335
8|RandomParents|0,1191187|1,124141;-1,686096;-2,142208;2,535457;-0,7541605;-2,279901;2,436775;-0,03078528;-0,4961271;1,47422;-0,04041448;1,848936;-3,725673;-4,381002;4,859298;-2,102641;-4,49149;4,741076;0,3954587;-2,192252;-2,78662;-2,63679;2,219045;3,862649;2,388753;-0,8719486;-1,313145;1,117862;-1,96967
9|RandomParents|0,1190959|-0,2084751;-1,769427;5,149764;3,066393;-0,1775459;-1,14459;1,441014;2,483131;1,520924;-5,440939;4,185501;-0,901424;-6,533769;-2,429408;0,3717763;-2,028644;2,097516;-4,045535;-1,211185;2,365658;0,8520343;-2,525049;0,3424351;2,551652;-2,414209;2,628663;2,980042;-1,106211;-2,695656
10|RandomParents|0,1154825|-0,6389584;-1,762808;5,016011;3,039978;0,06790029;-0,8961593;1,441014;2,006285;1,520924;-5,354681;4,127249;-0,5260169;-6,578861;-2,814191;0,3717763;-2,000144;2,296943;-3,752661;-1,459186;2,005065;1,089584;-3,090895;0,7672194;2,188569;-2,328699;2,643642;2,631344;-0,8000891;-2,695656
11|RandomParents|0,1151176|-0,03924111;-1,95017;5,685723;3,722113;-0,9634799;-0,8223637;1,221005;1,184788;4,588022;-2,934356;4,342023;0,05271485;-4,562036;-2,833388;1,301014;-2,376263;4,489487;-3,999412;-0,7219114;3,901938;1,618635;-1,215675;1,330437;4,253047;-3,279848;2,203739;2,549434;-3,410104;-4,300335
12|RandomParents|0,1096017|-0,2377125;-1,928905;5,210368;4,210295;-1,326687;-0,379084;1,658029;1,514144;3,833963;-3,402908;3,672527;0,2712431;-4,712862;-2,685527;0,8831598;-2,260407;4,484169;-3,455479;-0,2474136;3,836353;1,815834;-1,423074;1,340743;4,671882;-3,633541;2,641013;2,752932;-3,127171;-4,300335
13|RandomParents|0,1080244|-0,3670142;-2,237836;5,362182;3,755727;-0,8906143;-0,7929276;1,113832;1,351241;3,020409;-2,701953;3,858984;0,05271485;-4,522171;-2,584877;0,9949366;-3,115403;4,57165;-3,420914;-0,6522414;3,836353;1,566565;-1,711004;0,7546661;4,372048;-3,974484;2,709353;2,297594;-3,127146;-4,57561
14|RandomParents|0,09997523|-0,3573476;-1,905323;3,796553;2,543882;-0,2524387;-2,609485;1,441877;0,5772006;3,249923;-3,728684;2,846502;-0,1713996;-5,24039;-3,092913;1,927111;-1,29395;3,438249;-3,009103;-1,987882;2,583056;-0,0008495785;-2,737185;2,659631;2,430373;-1,669281;2,652626;3,636366;-2,446128;-3,708125
15|RandomParents|0,09649521|-0,003935669;-0,7079029;5,396336;2,927199;-0,5454961;-2,06799;1,127175;1,285626;4,277945;-5,200218;3,069997;0,3663088;-5,774503;-2,863754;1,62332;-1,144912;3,804163;-2,206596;-1,386427;3,400771;-0,3139006;-3,834589;1,343386;3,009417;-3,056305;2,085785;2,924145;-2,150324;-2,874348
16|RandomParents|0,09499735|-0,837326;0,6808369;3,508919;-1,251458;2,779691;1,000473;-0,09779882;-6,139565;3,17375;-2,466648;3,3626;-4,400023;0,418986;-4,38767;3,402238;0,24173;0,8991895;-0,4583468;-0,356332;-0,8545978;2,855217;5,068479;-1,701565;-0,5810926;-3,311975;2,031855;-4,374532;-4,149776;-0,5536337
17|RandomParents|0,09217793|1,167423;-1,378168;-2,464386;2,0715;-0,7135563;-2,270272;2,531508;0,125432;-0,8082969;1,840612;0,1234085;1,270675;-3,332233;-4,090444;4,697826;-2,074698;-5,035256;4,741076;0,3954587;-2,606073;-2,78662;-2,364878;2,219045;3,985429;2,143148;-1,103774;-1,238608;1,117862;-2,313317
18|RandomParents|0,09107017|-0,908676;-2,011003;5,610975;3,081895;-0,1606593;-2,89944;1,721502;3,018446;3,932827;-4,845944;2,341891;-0,2684203;-5,329247;-2,84412;0,9449135;-0,8537476;3,314239;-2,000427;-1,604281;3,394567;0,1760154;-2,428669;1,57262;4,552869;-2,721022;1,719405;3,360087;-0,9318124;-3,710859
19|RandomParents|0,08871392|-0,837326;0,6808369;4,407005;-1,704456;2,779691;1,000473;0,2608068;-6,139565;3,417603;-2,466648;3,619192;-4,8449;0,4527177;-4,809813;3,189783;0,24173;1,16162;-0,5452838;-0,356332;-0,7806383;3,340486;5,068479;-1,53983;-0,6588338;-2,592688;2,031855;-5,065783;-4,368162;-0,7906278
20|RandomParents|0,08813033|0,1994065;-2,116376;5,015099;3,468333;-1,377877;-0,9245886;1,322204;1,560402;4,213084;-3,366937;4,258097;-0,1085683;-4,562036;-2,685527;1,301014;-2,758842;4,489487;-3,821491;-0,7219114;4,222624;1,702801;-1,059124;1,511043;4,253047;-2,996792;2,448168;2,549434;-3,410104;-4,453043
21|RandomParents|0,0878909|-0,8145714;-1,142815;5,278723;2,954163;0,3228727;-0,9887688;1,381962;1,154485;1,71777;-4,992249;4,251125;-1,886046;-4,759184;-2,773568;1,298929;-0,7636896;2,025337;-3,808373;-1,900771;2,526946;0,458173;-2,958107;0,7429185;2,189362;-2,855903;1,828601;2,181474;-1,072556;-2,825995
22|RandomParents|0,08721482|-0,837326;0,3059456;3,896711;-1,66274;2,779691;0,6873391;-0,09779882;-6,473016;3,417603;-2,338295;3,106643;-4,400023;0,1073108;-4,750172;3,402238;0,24173;1,16162;-0,4516825;-0,356332;-0,7806383;3,29519;5,068479;-1,982092;-0,9228619;-2,815063;2,098316;-4,195328;-4,744804;-0,590315
23|RandomParents|0,08653628|-0,6032555;0,432064;4,149199;-2,283951;3,131901;1,125901;-0,2873012;-5,489098;4,094183;-1,840399;2,65754;-3,431446;0,9217752;-4,523532;4,20125;0,6824071;0,8117534;-1,192415;0,1781628;-1,175;3,325135;5,38618;-1,939375;-1,203503;-2,570899;2,034376;-4,590177;-4,243906;-1,399987
24|RandomParents|0,08520055|-0,4674001;0,4289977;4,097881;-2,04604;3,161247;0,8708137;-0,1497803;-6,48672;4,295296;-1,382763;2,792863;-3,886293;0,3975463;-4,705249;3,402238;0,4296099;0,6215166;-0,4875642;0,646848;-0,728368;3,622454;5,130785;-1,660469;-1,544417;-2,018334;1,854968;-4,737724;-4,653934;-1,666771
25|RandomParents|0,08447821|-0,7826185;2,333583;4,445457;-4,058764;0,8195087;-2,114371;-3,391288;0,8699061;-3,834084;-0,4053958;3,561088;0,7485955;1,968731;-0,8265958;-1,0952;-4,250405;-1,445299;-1,527331;2,487318;-2,653732;0,5453542;-3,006855;3,359514;3,751831;-0,9784239;-3,549003;-2,177168;-2,110108;1,893001
