Generation: 46 | maxFitness: 0,6101888 | maxFitnessGen: 0,2372755 | maxFitnessGenBuf: 0,2285507
N TotallyRandom: 1 | N RandomParents: 0 | N Top2: 80 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,2285507|1,894755;-0,4223359;-5,010423;-4,230991;-3,915611;5,015669;-5,107377;-4,9373;-0,2585283;-0,1757205;-3,336831;-1,461827;1,74729;0,8566244;6,463981;-1,213679;2,922332;3,865671;-0,4881224;-3,113464;4,747548;-3,133396;2,031684;1,975177;-2,403572;3,124362;-6,265073;-3,824243;4,342554
1|TOP2|0,2184643|1,444322;-0,355387;-4,751059;-4,310457;-3,915611;4,835885;-5,574339;-4,9373;0,09587434;-0,5526766;-3,336831;-1,381506;1,74729;0,997595;6,422107;-0,9071904;2,911978;3,46273;-0,3773677;-3,113464;4,666623;-2,648287;2,468875;2,049523;-2,403572;2,417436;-6,471445;-3,46818;4,369576
2|TOP2|0,2184587|2,106506;-0,3182493;-4,350229;-4,230991;-3,915611;4,595775;-5,277259;-4,9373;0,3180232;-0,6863149;-3,488236;-1,381506;2,035184;0,7566366;6,463981;-1,213679;2,516197;3,865671;-0,4881224;-3,113464;4,565164;-2,648287;2,082658;2,049523;-1,937679;2,909595;-6,265073;-3,222522;4,342554
3|TOP2|0,2165126|1,894755;-0,6384025;-4,851205;-4,230991;-3,915611;5,015669;-5,038512;-4,9373;0,09587434;-0,8640549;-3,336831;-1,381506;1,74729;0,997595;6,463981;-1,576275;2,922332;3,744966;-0,4881224;-3,158628;4,973578;-2,648287;2,031684;2,423671;-2,403572;3,299819;-6,265073;-3,219012;4,342554
4|TOP2|0,2156487|2,13708;-0,3182493;-4,289271;-4,230991;-3,915611;5,345224;-5,107377;-4,54346;0,09587434;-0,4916605;-3,603895;-1,381506;1,74729;1,053375;6,222104;-1,35107;3,190557;3,865671;-0,2431463;-3,314061;4,133633;-2,561956;2,031684;2,049523;-2,809533;2,909595;-6,128585;-3,46818;4,342554
5|TOP2|0,2150068|1,894755;-0,3487215;-4,751059;-4,102901;-3,88057;5,015669;-4,806552;-4,9373;0,09587434;-0,4916605;-3,476878;-1,381506;1,74729;0,997595;6,463981;-1,213679;3,205187;3,865671;-0,4881224;-2,622849;4,565164;-2,647566;1,575621;2,049523;-2,288646;2,64006;-6,265073;-3,46818;4,81214
6|TOP2|0,2100381|1,894755;-0,3182493;-4,33033;-4,230991;-3,915611;5,015669;-5,120182;-5,229671;0,09587434;-0,2193687;-2,942379;-1,729105;1,74729;0,997595;6,463981;-1,213679;2,922332;3,676736;-0,210136;-2,819324;4,679709;-2,796579;2,031684;2,049523;-2,850066;2,909595;-5,856176;-3,46818;3,942229
7|TOP2|0,2093424|1,801157;-0,4113787;-4,751059;-4,230991;-3,915611;5,244986;-5,107377;-4,9373;-0,08214989;-0,5396761;-3,810256;-1,381506;1,74729;0,997595;6,463981;-1,099053;2,947712;3,865671;-0,8847916;-3,113464;4,565164;-2,401935;1,552247;2,411077;-2,403572;2,854496;-6,074778;-3,436591;4,342554
