Generation: 1 | maxFitness: 0,1863816 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,1863816
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TotallyRandom|0,1863816|-4,277094;-1,417141;1,971465;1,779872;2,236071;2,549692;-1,94233;3,591138;-3,312147;-0,0877552;-1,016703;-3,268987;2,702738;-3,722376;-2,747684;4,646191;2,578704;-0,2591448;-0,639586;0,3929133;-4,50445;0,6237988;-4,994158;-1,737222;-0,1438851;0,09635401;3,649757;-2,239029;3,819647
1|TOP2|0,1367688|-3,370715;2,702689;4,63763;4,233471;0,7099729;-2,364711;-3,019251;-2,135486;-3,616453;1,166045;-1,261169;2,282417;-3,41641;-2,213734;2,788763;4,803745;2,11042;-1,654912;-2,560459;-3,506096;3,563231;1,834953;-2,314877;4,910001;2,144926;-3,742284;-3,156008;3,629981;-1,707215
2|TOP2|0,1248808|-3,077573;2,433132;-0,8819299;-2,796144;-1,858017;-2,521583;3,137478;-2,734417;3,766154;-4,964808;-0,1886172;2,106775;-1,081932;4,118965;1,500943;0,7155328;-4,911632;4,391338;3,460865;1,971862;-2,842907;-3,127725;1,597687;0,1165886;-1,963272;-2,897475;-1,20173;1,647684;-3,258204
3|TOP2|0,1233829|-2,607992;-3,586649;-2,003756;1,044127;-1,627493;1,640557;-4,254819;-4,99227;3,858985;-4,022696;-3,43644;3,437463;-4,081535;-4,1013;3,458797;-0,3034906;-0,4788108;-3,899976;3,491579;-0,7558079;1,834209;-4,591485;1,966809;-3,812737;4,993201;2,985952;-3,333159;-2,468478;-1,666953
4|TotallyRandom|0,1127754|-3,053375;-1,969057;-1,870084;4,456465;2,123996;-4,526528;-4,821881;-2,293928;-0,2193804;-1,716771;-0,6148057;-0,870822;-0,394208;0,5154996;1,299918;2,735887;0,7810431;-4,067282;-1,006892;1,198277;4,745842;2,247196;4,816428;2,530103;-0,568934;4,236932;0,837472;-2,656081;-4,757195
5|TOP2|0,09302735|-2,883008;2,165315;-3,027716;-1,032336;1,423687;-2,050527;3,85782;1,526248;-0,366406;3,322317;3,177336;0,3038125;4,661761;-1,107986;0,3640633;-1,19591;2,206213;-0,6504889;-1,730853;3,221048;4,857105;-0,1939421;-4,220887;3,971409;4,219285;-1,677289;-2,432597;-4,256372;1,622453
6|TOP2|0,08836257|-2,110975;-2,505947;-1,268565;-4,989195;-3,267636;-1,689064;-0,9567018;1,278548;-2,140477;3,120138;-4,312119;-1,580331;-1,411979;3,185672;-1,127587;-1,891926;-0,6186528;-4,207397;2,233468;-2,424977;4,014559;2,046107;-3,028222;0,8833618;-0,2520294;-3,901144;0,04740429;-0,8821483;0,009164333
7|TOP2|0,07698394|1,191158;3,702331;-3,000226;2,380704;-4,254663;2,944067;0,23279;4,505172;2,615305;-0,8104067;-2,263495;-1,39091;1,172679;-3,166772;-3,929074;2,374643;1,974647;-2,870363;-1,388181;4,92179;-3,528861;0,067945;-1,390094;3,518895;-0,3595309;1,396503;1,943564;-4,196668;-2,999184
