Generation: 2 | maxFitness: 0,4668479 | maxFitnessGen: 0,1863816 | maxFitnessGenBuf: 0,4668479
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,4668479|-4,513214;-1,355632;1,69333;1,779872;2,618403;2,549692;-1,94233;4,083344;-3,312147;-0,3776989;-1,016703;-2,831131;2,702738;-4,150033;-2,26844;4,646191;2,702617;-0,4480608;-0,8120928;0,3929133;-4,057228;0,6998847;-4,975476;-1,412644;-0,1514629;0,09635401;3,165777;-2,273026;3,638344
1|TOP2|0,4652798|-4,452861;-1,417141;1,971465;1,779872;2,548405;2,549692;-1,790255;3,591138;-3,312147;-0,1962742;-1,454677;-3,268987;2,702738;-3,722376;-2,747684;4,339761;2,308195;-0,740622;-1,074825;0,216432;-4,672385;0,2087817;-4,994158;-1,737222;-0,6230972;0,09635401;4,058842;-2,585701;3,819647
2|TOP2|0,4647754|-4,277094;-1,417141;1,971465;1,779872;2,236071;2,549692;-2,419429;3,591138;-3,312147;0,2980639;-1,501221;-3,268987;2,702738;-3,722376;-2,90756;4,544399;2,353477;-0,2110756;-0,2627195;0,6153942;-4,553096;0,6237988;-4,994158;-1,737222;0,004629746;0,09635401;3,649757;-2,239029;4,29658
3|TOP2|0,4497801|-4,708423;-1,417141;1,971465;1,35019;2,236071;2,549692;-1,759931;3,591138;-3,344398;-0,0003626943;-1,016703;-3,268987;2,702738;-3,876424;-2,719438;4,528922;2,374238;-0,2591448;-0,6402926;0,5087837;-4,50445;0,775498;-4,994158;-1,737222;-0,1438851;0,09635401;3,649757;-2,665176;3,819647
4|TOP2|0,2733002|-4,661288;-0,9856023;1,971465;1,288194;2,236071;2,549692;-1,94233;3,646824;-3,620327;-0,0877552;-1,016703;-3,257253;2,702738;-3,722376;-3,046164;4,733669;2,578704;-0,2591448;-0,639586;0,3929133;-4,50445;0,9978796;-4,994158;-1,737222;-0,1438851;0,09635401;3,961329;-2,239029;4,172835
5|TOP2|0,2587928|-4,277094;-1,090602;1,971465;1,632619;2,236071;2,549692;-1,94233;3,591138;-3,126224;0,3694489;-0,7411535;-3,268987;2,702738;-3,722376;-2,747684;4,234001;2,578704;-0,6851007;-0,639586;0,3929133;-4,50445;0,6237988;-5,379602;-1,737222;-0,1305913;0,3864154;4,044952;-2,45828;3,819647
6|TOP2|0,246639|-4,277094;-1,417141;1,816584;1,857347;2,236071;2,461433;-1,94233;3,933485;-3,312147;-0,1903583;-1,379455;-3,268987;2,702738;-3,722376;-2,747684;4,934322;2,373961;-0,2591448;-0,9263023;0,480076;-4,228772;0,3083718;-5,278766;-1,918586;-0,1438851;0,4984491;3,649757;-2,239029;3,819647
7|TOP2|0,2416238|-4,277094;-1,348727;1,554712;2,143881;2,236071;2,10559;-2,317505;3,796167;-3,63633;-0,0877552;-0,5734903;-3,657695;2,702738;-3,722376;-3,06234;4,646191;2,578704;-0,4772482;-0,210104;0,5006506;-4,695449;0,6237988;-4,515023;-1,737222;0,05349852;0,09635401;3,649757;-2,347685;3,819647
