Generation: 1 | maxFitness: 0,4106085 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,4106085
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TotallyRandom|0,4106085|4,576456;-3,306132;-0,5731411;3,699272;-3,903463;-1,952023;1,278845;-1,483405;0,05513239;-2,936983;-4,772751;-4,013881;0,6737084;2,857266;2,348621;4,527646;-4,654091;-3,903264;2,781682;0,9899287;1,468749;4,259912;4,916896;0,1899915;-0,4833789;-2,785067;-3,53588;0,759253;3,907805;3,409908;-2,895793;-2,916683;0,1347523;-4,945253;-3,968978;-4,340297;4,062319;1,010147;1,922052;1,198329;3,028999;-1,010181;-2,800688;-2,159044;-2,639289;1,35831;-2,008755;-1,002143;2,949419;-2,955773;-3,381008;1,555564;1,692532;3,980484;2,850177;-2,258187;-2,62549;3,219984;3,44105;1,657534;4,76773;-4,506818;-4,618877;4,811472;1,396626;-3,82563;-4,924379;4,17471;3,4567;3,516237;1,72614
1|TotallyRandom|0,3982739|3,110338;4,260831;-3,394208;3,939767;-0,2264767;-1,073708;-2,32878;0,6193514;-1,974934;1,346426;-4,377621;3,078835;-3,751316;2,776949;-0,8195024;-1,476651;-2,810669;4,226414;-4,322046;3,565061;-3,027714;-4,526623;-4,348539;1,134897;4,573688;-0,1028209;-1,211502;4,999581;-1,664525;-2,512101;-1,689519;4,696984;2,935057;-4,703588;-1,752481;2,696404;-0,165575;-3,471771;2,58809;0,4122038;4,813801;-2,374306;-2,249909;-4,418579;4,53614;-4,450462;4,989701;3,05563;-2,065971;-0,5386252;4,634672;-2,057872;1,468619;-3,193646;2,036726;2,049699;4,355934;3,329123;-1,283738;-1,943682;-0,4824238;2,554343;4,957576;2,004836;-1,689615;-3,641429;2,399391;3,304056;0,9703307;-3,834431;-3,02778
2|TotallyRandom|0,3529591|-1,11187;-2,601275;0,8033795;-1,375145;-2,987122;3,059562;-1,203614;-1,709466;2,651856;-2,234676;-3,324055;-2,984395;-2,949166;3,335439;2,162891;3,054922;-3,952269;3,427685;2,629328;0,5821652;-2,627876;-1,023438;-4,652338;-1,934455;-0,715837;1,92833;-1,08154;-1,669635;-2,383253;-1,333824;4,171522;-0,4462595;-2,422655;1,434231;-4,334486;-3,737391;0,8228712;4,804668;3,784762;-1,210878;3,774463;1,164237;-1,726202;3,691855;-2,211158;-3,103957;1,993724;0,1184697;3,075347;0,4378324;4,04304;-1,878746;-1,870715;4,991761;-4,304209;0,9432716;0,595984;-4,085485;-4,841087;-2,658645;-2,337336;-1,785114;-4,911373;4,672781;-3,545657;-2,568345;4,231516;-0,382617;-2,689432;1,813832;-2,335605
3|TotallyRandom|0,351821|1,622776;3,3565;2,47763;-3,295069;-4,652489;4,694302;-3,926782;-4,440083;1,950041;4,487934;-4,70482;-1,115478;-3,970278;0,8194284;0,7718329;1,798879;3,173705;2,296836;-4,438765;2,172356;-3,705323;-0,4665251;-4,850626;0,1427965;1,634104;3,478142;1,951187;-4,026633;3,795046;3,68522;3,685515;4,530462;-3,835361;1,352502;-1,994066;0,5744629;2,543536;4,601096;-3,143145;1,57761;-3,233709;-2,469313;0,7773108;-0,805388;-0,09917545;3,206547;-0,1244612;-2,669728;-1,63599;-1,912518;-2,227004;0,0201993;-3,484848;1,198797;3,991133;-3,308143;-0,7432885;2,173325;3,123486;-2,442894;4,504033;4,384017;0,9713368;-1,280969;-0,8877487;-0,5643206;-4,957391;2,670616;-4,74885;3,8826;1,181167
4|TotallyRandom|0,307668|-1,958538;-2,928797;-1,379423;-1,330753;-0,4097505;-4,691409;0,09048891;1,0889;3,258685;4,402675;-3,787811;0,3136544;-3,571137;-2,785397;-3,929279;-0,008981705;-0,2193456;2,154176;-2,861189;4,466452;-0,2632089;-4,264597;4,383186;-1,492388;-4,548959;-1,726048;4,903893;0,4046063;0,8261652;4,626283;-2,42001;0,6524448;1,064103;-4,993037;-2,699704;-3,00563;-1,672422;-2,137712;-2,162319;-3,768682;4,021682;-2,35245;-2,485411;0,01090956;-1,792979;-1,231223;-4,778807;-4,575813;-2,69462;1,665711;-4,025974;-0,5435305;-3,558477;1,498365;-0,4866738;2,832369;-1,159;4,203644;-1,665259;-4,437561;-0,2731686;-4,56992;-0,8960681;4,955141;3,627896;-4,53494;-3,854432;3,298076;2,427192;-3,540432;0,9703641
5|TotallyRandom|0,2756853|4,534291;-4,093369;-0,9703879;1,967846;-4,944726;3,90024;-0,3463097;1,86412;-4,477022;-2,877831;-0,02786922;-4,950457;-4,078488;3,408681;-3,205191;-0,2576132;-4,585285;-3,924685;1,331444;1,193251;3,52339;4,959201;-3,680529;-0,8961768;-1,591614;2,266046;1,780584;-2,310782;-1,823841;-0,7077785;3,857916;4,85684;-0,05796957;0,9513111;-2,434602;2,364689;2,797439;3,485394;-0,2345042;0,289454;4,639907;3,550364;0,2413754;-0,2471418;-1,044219;1,326475;3,288248;3,226833;0,8429403;-0,1169415;-3,732416;-2,756815;-3,230973;3,797346;-1,840559;0,1174731;-4,464876;2,302426;-3,495704;0,1640816;-4,974655;3,4341;-0,1939793;-1,178233;0,7745581;-0,7539959;2,641748;-2,360178;-1,070845;2,607518;-0,6552215
6|TotallyRandom|0,05720042|-2,147679;0,5044394;-4,040899;3,070957;4,500004;0,7957201;0,7750912;-2,671635;-0,3451223;1,974258;-3,131468;1,226952;2,501445;2,541335;0,6114941;0,3580637;4,600124;-0,7663684;2,664406;-4,726484;2,73715;4,61502;2,123981;0,4049306;2,753022;0,3822107;1,335906;2,491115;-2,127629;-0,3417044;-1,615521;-4,083361;-0,7564611;-0,3904586;2,187171;-2,587888;2,458014;-2,676893;2,923249;-1,44476;4,667879;-4,031837;-2,196779;-0,806356;-2,366407;2,117264;-4,556741;-3,875028;-4,088314;-0,5897088;-3,060819;4,769215;-0,8038883;-1,928439;3,512807;2,43637;3,145555;0,7975788;4,246989;4,271732;-4,031874;-1,001925;3,25748;-1,925277;1,129611;1,674575;-0,8688731;-3,545661;-4,038584;2,558514;0,8296151
