Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,08068936
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,08068936|0,2269131;-0,6543388;-0,004787564;-0,9599733;0,008777738;-0,06996119;0,3553426;0,8927875;-0,8886874;0,01610291;-0,1041938;0,4393274;0,7574649;-0,6564903;-0,8399329;-0,699367;0,9396257;0,03369963;0,7027254;-0,1306976;0,123238;-0,9297523;-0,7269497;-0,873966;0,4052574;-0,4128872;-0,08935654;-0,8726482;-0,06409895
1|TotallyRandom|0,08068019|-0,5661564;-0,1519216;-0,1822451;0,9985685;-0,7455103;0,2082452;0,8695498;-0,6997361;0,5993965;0,4023556;0,06031144;0,2623489;0,3685674;0,1101168;-0,823288;-0,9431095;0,6730692;-0,1110908;0,8949177;0,17305;-0,6949639;-0,1116394;0,1125528;-0,1860813;-0,3731316;-0,1038913;-0,5693517;-0,2462629;0,07318151
2|TOP2|0,080662|0,6283391;0,6752799;-0,4246503;0,9924908;0,41888;-0,3081118;0,5983841;-0,8685811;-0,5377336;-0,6415958;-0,5058875;-0,3088554;0,2852609;0,117936;-0,8712671;0,4977729;0,9119232;-0,732897;-0,6377721;-0,1969713;0,748301;-0,3680156;-0,9858031;0,708966;0,2004508;0,02556264;0,1576632;0,7419357;-0,6771173
3|TOP2|0,08048693|-0,661684;0,7586305;-0,9479427;-0,6361945;0,5016968;-0,2388595;-0,41444;-0,1387941;0,1109227;0,2674877;-0,6954889;0,04581916;-0,2251226;0,7519717;-0,7381084;-0,4207023;0,4828708;-0,9182131;-0,7520201;-0,5422468;-0,4293076;-0,3730172;-0,2883834;0,07058084;0,3643536;-0,3901628;0,134966;-0,1446642;-0,1084906
4|TOP2|0,08036101|-0,2720822;-0,7222178;0,7559552;-0,5045249;-0,7874959;-0,695904;0,3982241;0,4561433;0,4994781;0,8799782;-0,6496489;-0,317088;0,5884049;0,4889295;0,7805829;0,5502164;0,1808685;-0,9542646;0,5623736;0,515106;0,7547755;0,5328975;-0,6078427;-0,961237;0,2175335;-0,1862987;-0,9938877;-0,1700603;0,005489469
5|TOP2|0,07868088|-0,152058;0,7465799;-0,1742352;-0,9911838;-0,371544;0,2044739;0,5026457;-0,8081036;-0,5204127;0,04753029;0,1228019;0,7299361;-0,9115353;0,4870302;-0,02280915;0,8094208;0,04618371;0,4725511;-0,4691128;0,4661019;0,01603281;-0,4126519;0,770016;0,6140523;-0,6111212;0,7668159;-0,3897682;0,4047689;-0,06292331
6|RandomParents|0,07147345|0,6663175;0,4988832;0,4975528;-0,2476631;-0,24536;0,381417;0,4263;-0,949625;-0,7473359;-0,3163851;-0,8822057;-0,880837;-0,3152364;-0,2199484;-0,9655542;0,149335;0,1944128;-0,4060329;-0,4799732;0,1687258;0,3709962;-0,1156076;0,3045935;0,3271346;0,6464515;0,1183802;-0,643297;0,4108014;-0,07456148
