Generation: 1 | maxFitness: 0 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,06578106
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,25

Index|Brain Type|Fitness|BrainData
0|TOP2|0,06578106|-1,166063;1,000449;3,655953;-0,4149718;2,136851;4,313589;3,53199;4,473907;-2,784867;-0,7330008;-0,9607773;3,769356;-0,2095313;-1,499335;4,612326;-0,6843119;4,090166;-1,673251;-4,849293;2,941134;-0,5149646;0,3576179;2,274296;-3,730411;-0,8302708;-2,937918;0,2595525;2,419107;0,427237
1|TOP2|0,02012543|1,702367;0,7427149;-2,622089;0,9220891;-1,987147;0,6569748;4,099785;1,715529;4,414158;4,005577;-3,560574;-4,325477;-1,904585;3,233438;-3,294788;0,4211574;4,072661;-2,305517;3,518044;1,441363;-2,444044;-0,8568807;-1,447365;-3,722654;-2,706367;3,828586;3,898383;2,607574;0,3421016
2|TOP2|0,01627821|3,997756;1,813904;4,488715;-1,348153;-1,610815;-1,678908;3,883286;-3,70191;3,886705;1,633886;-2,865384;3,70991;-3,120562;1,541997;-2,048634;-0,3853984;-4,06171;2,835969;3,877906;1,4507;-2,736095;0,2551169;-0,3041034;-3,03671;-4,58969;-3,97764;0,8803792;3,71272;1,654972
3|TOP2|0,01486371|4,610457;3,5313;-3,656665;3,451445;-0,893827;-0,579154;2,194909;-0,1300364;2,016521;4,812809;-1,419445;1,804113;-4,793488;0,6215734;2,982948;4,791458;2,36782;1,65843;-2,912821;-2,533884;-4,119858;0,5963202;0,1669626;-2,23035;1,115499;3,412252;1,666353;-4,265755;-2,77341
4|TotallyRandom|0,01333675|-4,606577;0,9373302;-4,623409;-3,966108;-4,870025;-1,716397;-3,494853;2,415557;1,954539;-0,6112008;-2,262845;-4,274601;1,866146;2,054091;0,2962513;0,2268176;3,49516;-0,8983498;3,739136;-2,056574;-3,918884;-0,5146141;0,02372074;1,735883;-1,355104;-1,703721;2,142465;0,8926396;-2,1941
5|TOP2|0,013023|1,328674;2,385768;0,1982255;0,5979996;2,507673;3,887728;2,559427;-2,577642;3,430699;0,0946064;2,22968;-2,51409;0,6295509;-4,477807;-4,291511;-0,4156299;4,501827;4,66538;-3,712656;2,657154;-2,705855;-2,891722;0,4537468;-1,06415;2,639895;4,306954;2,49686;4,811326;0,2307363
6|TotallyRandom|0,01187986|2,826504;-2,804534;-3,533603;0,5648856;1,25382;-4,860908;2,796222;2,297357;-4,997621;2,48507;-4,108653;-0,8558197;4,60614;-3,591384;2,274314;-1,842098;1,058052;-1,417837;-2,020033;0,01382065;2,406507;-0,7737427;1,247518;2,290528;3,686799;3,576778;-1,078264;-2,041533;-0,9303613
