Generation: 1 | maxFitness: 0,2269851 | maxFitnessGen: 0 | maxFitnessGenBuf: 0,2269851
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,2269851|0,9361892;2,844014;-0,1464872;2,4933;-4,945288;0,08682299;3,975378;2,75739;2,124505;-4,138981;0,07623005;3,036876;-0,676506;-4,843873;-3,376774;-2,265105;-3,93724;-3,846411;4,467832;-0,06603527;4,704536;1,53317;-1,35654;-1,893401;-0,4927068;1,613108;2,935233;2,644942;-2,909651
1|TOP2|0,1888106|-3,26391;-1,22274;3,987541;-0,8656173;-3,984241;-2,997579;0,7925959;3,418754;-1,920633;3,52325;0,3402405;3,646816;-3,664568;-1,849332;-1,233247;0,05099106;1,771873;-2,613301;2,056185;2,556927;1,208902;0,714498;-3,69522;3,559775;2,018751;-4,184695;-0,2708192;-3,654685;0,2344375
2|RandomParents|0,1096433|-1,235842;3,869267;4,535831;-3,316549;-0,9495993;-2,60467;-2,556644;-0,967453;-3,033111;0,8978014;0,3529568;0,3550262;4,493465;0,1452713;4,194895;2,344126;-3,249012;-4,642984;0,3023143;-0,716558;4,107494;1,441854;-2,766065;-2,815219;-1,288844;1,169656;-4,411582;-0,3643794;1,556256
3|TotallyRandom|0,1056909|-3,654442;3,725186;-4,30521;1,108144;-4,077648;0,7372551;-1,231952;3,194093;-0,5285411;2,016309;1,158133;3,629785;2,408023;-3,452559;-1,282301;-1,905997;4,661398;4,805717;-4,312382;-4,659146;-2,07975;2,180488;-1,48288;-3,732576;2,257243;0,9553118;0,4830937;-4,655023;-2,814707
4|TotallyRandom|0,1010067|-4,556892;3,490551;2,558223;3,178515;3,290692;1,14239;-2,928636;-3,155844;-2,961907;2,558525;-0,4096098;-0,877542;0,1546593;-2,005423;2,803643;-1,796727;3,387068;4,43507;-4,798559;-4,936621;-4,948313;1,060193;0,5636783;2,923793;4,977454;1,945099;-3,045821;0,06555367;-0,4306741
5|TOP2|0,09823351|0,241466;-1,285794;4,210578;-3,898617;-4,764673;3,50716;3,014057;4,811424;-1,963296;-4,219515;-4,524508;0,1094775;-3,749929;2,742943;2,185431;4,124923;1,875902;-3,488295;1,022121;1,528636;-4,272395;-0,01381111;3,716242;-0,03444481;0,6752472;-2,130638;3,152885;-4,941118;3,99209
6|TotallyRandom|0,09363332|-0,5647759;-0,6414742;-1,987385;4,004213;0,08936214;-0,4190249;2,80547;-2,700919;4,129958;-4,386616;1,111907;4,934722;4,647413;-1,808478;-4,177661;-3,171139;0,3832145;-2,372488;-2,083333;-0,2374668;-4,837308;-4,206615;-4,241437;2,762547;-1,6772;0,9400635;3,52716;-0,5049472;-0,2804904
7|TOP2|0,08149003|0,3825588;2,514495;2,869054;-4,108223;2,573404;4,327563;-1,41818;-3,579001;-2,600663;-0,6303115;1,457599;3,541119;4,313411;-4,531687;4,047756;4,194098;-3,98095;2,460437;-3,359088;-2,74324;2,440417;2,869604;0,946228;3,056704;4,946651;0,9865565;-1,128517;-2,096587;2,429248
