Generation: 125 | maxFitness: 0,9087385 | maxFitnessGen: 0,3320309 | maxFitnessGenBuf: 0,9087385
N TotallyRandom: 8 | N RandomParents: 0 | N Top2: 71 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,9087385|-1,716094;-2,955744;6,326849;0,407976;4,625015;1,052546;2,204385;1,00238;-6,911151;4,23679;-2,650911;-3,793724;0,7463272;-1,336819;-4,273249;1,43575;1,330879;-3,493126;-1,105712;-3,551778;0,7694964;-3,887408;-2,917336;4,124579;3,138994;-3,886009;3,725297;2,065281;6,308476
1|TOP2|0,4790985|-1,766728;-2,955744;7,278705;0,701;4,644268;1,217411;2,696014;1,00238;-6,911151;4,23679;-2,912042;-3,336653;0,3904839;-1,336819;-4,273249;1,43575;0,9860607;-3,92283;-1,105712;-3,551778;1,297301;-4,3825;-2,888827;4,124579;2,773813;-3,886009;3,68304;2,065281;6,200234
2|TOP2|0,4725121|-1,619337;-3,095001;6,842629;0,701;4,231142;1,102163;2,204385;1,00238;-6,911151;4,23679;-2,571099;-3,336653;0,7275138;-1,308871;-4,273249;1,43575;1,330879;-3,493126;-1,477371;-3,551778;0,9330409;-3,579453;-2,861702;4,124579;2,403989;-3,886009;3,258317;1,789869;6,554897
3|TOP2|0,4574525|-1,619337;-2,955744;6,649387;0,701;4,231142;0,7824758;2,524013;1,00238;-6,911151;3,847433;-2,886079;-3,336653;0,7275138;-1,156307;-4,213114;1,111872;1,330879;-3,493126;-1,105712;-3,551778;1,275576;-4,062766;-2,948096;3,673084;3,126991;-3,670656;3,725297;2,466118;6,554897
4|TOP2|0,4158224|-1,619337;-2,955744;6,78991;0,2132545;4,062692;0,7824758;2,204385;0,5955043;-6,911151;4,23679;-2,571099;-3,16717;0,7275138;-1,743179;-3,9554;1,292734;1,330879;-3,493126;-1,105712;-3,440099;1,437275;-4,358995;-3,160951;4,124579;2,48996;-4,009738;3,725297;1,929341;6,837924
5|TOP2|0,3732181|-1,619337;-3,40754;6,825784;0,701;4,243729;0,7824758;2,33326;1,446601;-6,911151;4,23679;-2,571099;-3,336653;0,7275138;-1,336819;-4,502205;1,43575;1,301099;-3,453038;-1,020079;-3,126176;1,012783;-3,720582;-3,087125;4,124579;2,824924;-3,886009;3,725297;2,368011;6,554897
6|TOP2|0,3573048|-1,747126;-2,955744;6,825784;0,4684687;3,866178;0,3715746;2,204385;0,7327352;-6,565007;4,23679;-2,571099;-3,239979;0,5827308;-1,705749;-4,273249;1,43575;1,477554;-3,011172;-1,105712;-3,551778;1,012783;-4,195714;-2,631404;4,124579;2,824924;-3,539028;3,725297;2,065281;6,554897
7|TOP2|0,3489791|-1,383644;-2,955744;6,825784;0,5542942;4,231142;0,7824758;2,004928;0,9360413;-6,894893;4,568444;-3,011369;-3,58544;0,7275138;-1,336819;-4,273249;1,387753;1,330879;-3,21552;-1,105712;-3,551778;1,375881;-3,887408;-2,917336;4,221603;2,824924;-3,886009;4,075238;2,065281;6,554897
8|TOP2|0,3482884|-1,619337;-2,955744;6,984445;0,4450974;4,145102;0,3737398;2,204385;1,00238;-6,418996;4,022078;-2,843063;-3,336653;0,7275138;-1,336819;-4,273249;1,57398;1,330879;-3,493126;-0,9821197;-3,28923;1,508973;-4,270899;-2,917336;3,847891;2,824924;-4,142376;3,725297;2,065281;6,177315
9|TOP2|0,3357292|-2,118179;-3,348503;6,514664;0,7390959;4,231142;0,5738609;2,153169;1,037112;-6,911151;3,739304;-2,930699;-3,336653;0,7275138;-1,336819;-4,416711;1,43575;1,359477;-3,89316;-1,341672;-3,310372;1,012783;-3,887408;-2,917336;4,124579;2,824924;-3,886009;3,871116;2,065281;6,723544
10|TOP2|0,3291299|-1,20336;-3,306219;7,037105;0,2658325;4,231142;0,7824758;2,204385;1,00238;-6,778045;4,23679;-2,571099;-3,336653;0,7275138;-1,493275;-4,273249;1,268799;1,773226;-3,493126;-1,105712;-3,988914;1,012783;-3,887408;-2,917336;4,124579;2,824924;-3,886009;3,951989;2,065281;6,142631
11|TOP2|0,3277346|-1,619337;-3,349655;6,749798;0,5299632;4,231142;0,7824758;2,300405;1,463267;-6,911151;3,934734;-2,952216;-2,977176;0,7275138;-1,294976;-4,053808;1,43575;1,739304;-3,493126;-0,7211199;-3,551778;0,7127924;-4,083425;-2,879593;4,17032;2,729291;-3,723967;3,774371;2,065281;6,554897
12|TOP2|0,3223184|-2,088738;-2,955744;6,825784;0,67334;4,53813;0,7824758;2,204385;0,9179711;-6,911151;4,223444;-2,641505;-3,336653;1,199741;-1,660678;-4,273249;1,43575;1,330879;-3,493126;-1,105712;-3,551778;1,397778;-4,129823;-2,917336;4,616886;2,444981;-3,886009;3,725297;2,065281;6,313992
13|TOP2|0,3127905|-1,619337;-2,955744;6,825784;0,701;4,231142;0,7824758;2,204385;0,6105268;-7,079276;4,06723;-2,571099;-2,837742;0,7275138;-1,336819;-4,069482;1,842856;1,330879;-3,278402;-1,068876;-3,446754;1,095623;-3,476995;-2,917336;3,725575;2,824924;-3,886009;4,083699;2,065281;6,30938
14|TOP2|0,3092526|-1,681861;-2,955744;7,221361;0,701;4,231142;0,7824758;2,110798;1,084724;-6,911151;4,23679;-2,253974;-3,418595;0,8249612;-1,454295;-4,273249;1,233507;1,13165;-3,493126;-1,105712;-3,551778;0,7436426;-4,245352;-2,849319;4,124579;2,47636;-3,886009;3,725297;2,415188;6,431162
15|TOP2|0,3072888|-1,619337;-2,955744;6,870235;0,7027395;3,739977;0,4134027;2,204385;1,040979;-7,310868;4,23679;-2,10822;-3,108015;0,7275138;-1,336819;-4,273249;1,792344;1,36167;-3,851651;-1,105712;-3,121147;1,400425;-3,887408;-2,917336;4,391787;3,324576;-3,886009;3,725297;2,065281;6,797638
16|TOP2|0,2971534|-1,619337;-3,313541;6,825784;0,701;4,410489;0,7824758;2,37918;0,9051908;-6,911151;4,713561;-3,041027;-2,866793;0,9965693;-1,336819;-4,273249;1,43575;1,330879;-3,844509;-1,105712;-3,542904;1,012783;-3,887408;-2,739335;4,124579;2,824924;-4,229587;3,725297;2,217526;6,554897
17|TOP2|0,2959412|-1,650859;-2,64163;6,825784;0,701;4,231142;0,3922738;2,252869;1,00238;-6,875097;4,23679;-2,855874;-3,82878;0,7275138;-1,336819;-3,869784;1,766389;1,330879;-3,493126;-1,105712;-3,249397;0,8096942;-3,887408;-2,917336;4,124579;2,824924;-3,886009;3,725297;1,681697;6,554897
18|TOP2|0,2897363|-1,619337;-3,2446;7,140443;1,045128;4,231142;0,7824758;2,204385;1,00238;-7,393893;3,993957;-2,813837;-3,336653;0,7275138;-1,455127;-4,40048;1,914302;0,9412382;-3,493126;-0,9807619;-3,55505;1,012783;-3,887408;-2,917336;4,4801;2,824924;-3,76178;3,725297;2,305911;6,702799
19|TOP2|0,2814595|-1,727707;-2,955744;6,825784;1,084075;4,41039;0,7824758;2,194398;1,101931;-6,911151;4,23679;-2,571099;-3,744953;0,2317284;-1,336819;-4,763441;1,768831;1,514087;-3,507913;-1,105712;-3,551778;0,9895406;-3,887408;-2,560116;4,32881;2,738978;-3,886009;3,725297;2,065281;6,554897
20|TOP2|0,2807613|-1,619337;-2,955744;6,825784;1,038568;4,231142;1,078563;2,204385;1,407425;-6,911151;4,267507;-2,571099;-3,336653;0,7275138;-1,336819;-4,273249;1,43575;1,120511;-3,493126;-1,105712;-3,739733;1,121291;-3,503201;-2,979411;4,381048;2,824924;-3,886009;3,725297;2,365713;6,85157
21|TOP2|0,2757289|-1,619337;-2,646206;6,825784;0,7647772;4,231142;0,7824758;2,132417;1,00238;-6,618939;3,909846;-2,462885;-3,026639;0,7275138;-1,336819;-4,182477;1,43575;1,330879;-3,493126;-0,6516787;-3,959584;1,012783;-3,630214;-2,772972;4,053078;2,562847;-3,886009;3,766637;2,310217;6,554897
22|TOP2|0,2735|-1,619337;-3,377867;6,673213;1,167179;4,231142;0,346143;2,014534;1,134772;-6,911151;4,051451;-2,29396;-3,336653;0,8171595;-1,037722;-4,273249;1,43575;1,330879;-3,283725;-1,105712;-3,551778;0,7288194;-3,739605;-2,917336;4,124579;2,824924;-3,886009;3,645386;2,065281;6,554897
23|TOP2|0,264173|-1,782485;-3,049253;6,825784;0,701;4,179677;0,7824758;2,204385;1,00238;-6,433149;4,082806;-2,736168;-3,336653;0,8894347;-0,9266196;-4,273249;1,43575;1,070458;-3,493126;-0,9102224;-3,40449;1,047337;-3,887408;-2,62086;4,124579;2,824924;-3,461508;3,825326;2,065281;6,737889
24|TOP2|0,2633345|-1,619337;-2,955744;6,825784;0,701;4,436308;0,7824758;2,204385;1,00238;-6,911151;4,23679;-2,813279;-3,336653;0,7275138;-0,9466934;-4,273249;1,218981;1,330879;-3,369917;-1,105712;-3,330789;0,8544566;-3,887408;-2,917336;4,075303;2,824924;-3,795999;3,231941;1,920973;6,554897
25|TOP2|0,2614701|-1,531184;-2,489245;6,825784;0,7173991;4,716371;0,8369637;2,204385;1,00238;-6,47223;4,619501;-2,354652;-3,638218;0,6546145;-0,8752731;-4,648711;1,43575;1,330879;-3,878207;-1,105712;-3,551778;0,9136804;-3,887408;-2,610897;4,124579;3,083248;-3,886009;3,725297;2,419454;6,554897
26|RandomParents|0,2599364|-0,8996732;-2,12503;5,961688;0,5382482;4,456005;0,7989137;2,147753;0,6918644;-7,413651;3,901998;-2,118659;-3,566723;0,8610091;-1,359364;-4,334269;1,10199;0,8849047;-3,87712;-1,27088;-3,172882;0,3250467;-3,284176;-2,897042;2,440312;2,786245;-4,2789;3,963017;2,647346;6,45827
27|TOP2|0,2582213|-1,619337;-2,955744;6,825784;0,701;4,231142;1,005621;2,679357;1,00238;-6,911151;4,23679;-2,571099;-3,203039;0,7275138;-1,107112;-4,273249;0,9814035;1,330879;-3,507222;-0,6287267;-3,551778;1,012783;-3,887408;-2,924566;4,444508;2,824924;-3,886009;3,382067;2,065281;6,554897
28|TOP2|0,2556604|-1,619337;-2,955744;6,672366;0,701;4,231142;0,7824758;2,204385;0,7186251;-7,036338;4,23679;-3,048299;-3,336653;0,7275138;-1,336819;-4,682744;1,324808;1,330879;-3,493126;-1,479675;-3,23198;0,5779952;-3,887408;-2,917336;4,124579;2,824924;-3,886009;3,875581;2,065281;6,554897
29|TOP2|0,2533306|-1,923213;-3,325058;6,825784;1,057639;4,231142;1,27476;2,302247;0,9391142;-6,787539;4,23679;-2,571099;-2,959711;1,005392;-1,336819;-4,223891;1,43575;1,330879;-3,105274;-0,9283369;-3,390775;1,382042;-3,887408;-2,917336;3,741083;2,470601;-3,687183;3,613487;2,065281;6,309927
