Generation: 351 | maxFitness: 0,1549068 | maxFitnessGen: 0,1172966 | maxFitnessGenBuf: 0,1176906
N TotallyRandom: 5 | N RandomParents: 5 | N Top2: 40 | Min Mutation: 0,5

Index|Brain Type|Fitness|BrainData
0|TOP2|0,1176906|1,859194;0,2985836;-2,202412;0,1656975;0,8039177;-1,055622;3,062681;-0,8134078;0,1202661;1,334114;-0,2491381;-2,409889;-0,3339425;1,564414;0,9106832;0,2643352;0,9647709;1,342129;-2,613068;2,66873;-0,7208498;-0,04577039;-2,845934;1,170846;-3,826102;-0,6459513;1,556191;0,1999185;-0,1208004
1|TOP2|0,1153961|1,882785;-0,02250689;-2,140226;0,1656975;0,8971447;-1,055622;2,799745;-1,100699;-0,4677062;1,764257;-0,06405126;-2,18197;0,3995235;1,564414;1,379905;0,7518935;0,7909879;1,658905;-2,431716;2,66873;-0,7208498;0,3709298;-3,102641;1,170846;-3,963998;-0,2779405;1,556191;0,1999185;-0,1208004
2|TOP2|0,1142912|1,882785;-0,02250689;-2,202412;-0,2289099;0,8971447;-0,9963303;3,060403;-1,100699;-0,2685533;1,764257;-0,06405126;-2,466772;0,1982483;1,564414;0,9285387;0,2643352;1,11453;1,833315;-2,431716;2,66873;-0,7208498;-0,04577039;-3,102641;1,198085;-3,826102;-0,2779405;1,556191;0,1999185;-0,1208004
3|TOP2|0,1126727|1,882785;-0,380055;-2,202412;0,1656975;0,8971447;-1,036985;2,948148;-1,100699;0,01053397;1,478666;0,2747098;-2,340516;0,04066646;1,564414;0,9285387;0,2643352;0,393802;0,8806267;-2,431716;2,187109;-1,115588;0,2865956;-3,077456;1,170846;-3,826102;-0,2779405;1,478382;0,1999185;-0,1208004
4|TOP2|0,08507129|2,356863;-0,02250689;-2,590523;-0,1582995;1,028643;-1,055622;2,799745;-1,100699;-0,1181569;1,764257;-0,06405126;-2,186274;0,04066646;1,241908;0,9285387;0,6308676;0,7909879;1,342129;-2,534054;2,66873;-0,7208498;0,08118117;-2,692579;1,170846;-3,356539;-0,2779405;1,556191;0,1999185;-0,1208004
5|TOP2|0,08480641|1,882785;-0,1979665;-2,202412;0,3656743;0,8971447;-1,055622;2,799745;-1,100699;-0,02412416;2,045403;-0,4901283;-2,374326;-0,005696237;1,564414;0,9285387;0,2643352;0,4872462;1,342129;-2,431716;2,26637;-0,4301389;0,3520232;-3,102641;1,542492;-4,113656;-0,2779405;1,556191;0,1999185;-0,1208004
6|TOP2|0,08399253|2,289453;0,4450423;-2,202412;0,5468934;0,911249;-1,11346;2,439212;-1,167752;-0,2499423;1,764257;-0,3108333;-2,186274;0,2292873;1,476814;0,6854712;0,04760596;1,171783;1,342129;-1,948202;2,66873;-0,7208498;-0,3838217;-3,102641;1,034917;-3,970726;-0,2779405;1,830056;0,1999185;-0,1208004
7|TOP2|0,083686|1,803257;0,2143608;-2,202412;0,1656975;0,8971447;-1,29632;2,799745;-1,100699;-0,4534267;1,764257;-0,4476055;-2,186274;0,5035011;1,991035;0,8638824;0,2643352;0,4626967;1,385282;-2,431716;2,66873;-0,7208498;0,1468459;-2,93205;1,170846;-3,386349;-0,5525992;1,353657;0,1999185;-0,07005855
